1	0.12	7.2	0.229		1	0.12	7.2	0.605		1	0.29	17.4	0.039		1	0.66	39.6	0.243		1	0.3	18	0.378		1	0.69	41.4	0.076		1	0.5	30	0.284		1	0.55	33	0.179
2	0.43	25.8	0.401		2	0.18	10.8	0.149		2	0.48	28.8	0.082		2	0.78	46.8	0.266		2	0.44	26.4	0.118		2	0.44	26.4	0.03		2	0.33	19.8	0.55		2	0.44	26.4	0.22
3	0.08	4.8	0.11		3	0.29	17.4	0.423		3	0.74	44.4	0.092		3	0.66	39.6	0.12		3	0.26	15.6	0.142		3	0.69	41.4	0.038		3	0.34	20.4	0.05		3	0.38	22.8	0.235
4	0.16	9.6	0.364		4	0.21	12.6	0.232		4	0.53	31.8	0.029		4	0.98	58.8	0.168		4	0.61	36.6	0.234		4	0.26	15.6	0.153		4	0.32	19.2	0.18		4	0.49	29.4	0.164
5	0.24	14.4	0.51		5	0.28	16.8	0.378		5	0.5	30	0.174		5	0.59	35.4	0.085		5	0.09	5.4	0.169		5	0.47	28.2	0.21		5	0.18	10.8	0.25		5	0.23	13.8	0.23
6	0.19	11.4	0.683		6	0.18	10.8	0.18		6	0.23	13.8	0.41		6	0.31	18.6	0.118		6	0.4	24	0.152		1	0.38	22.8	0.097		6	0.5	30	0.182		6	0.42	25.2	0.344
7	0.51	30.6	0.607		7	0.38	22.8	0.225		7	0.4	24	0.351		7	0.44	26.4	0.338		7	0.29	17.4	0.627		2	0.58	34.8	0.088		7	0.4	24	0.118		7	0.4	24	0.067
8	0.24	14.4	0.143		8	0.23	13.8	0.554		8	0.38	22.8	0.228		8	0.89	53.4	0.237		8	0.17	10.2	0.15		3	0.36	21.6	0.151		8	0.48	28.8	0.049		8	0.52	31.2	0.089
9	0.2	12	0.353		9	0.13	7.8	0.39		9	0.29	17.4	0.105		9	0.54	32.4	0.145		9	0.49	29.4	0.241		4	0.7	42	0.309		9	0.35	21	0.113		9	0.2	12	0.093
10	0.17	10.2	0.351		1	0.09	5.4	0.191		10	0.53	31.8	0.131		10	0.21	12.6	0.212		10	0.39	23.4	0.311		5	0.69	41.4	0.277		10	0.35	21	0.264		10	0.38	22.8	0.123
11	0.18	10.8	0.223		2	0.26	15.6	0.617		11	0.74	44.4	0.46		11	0.6	36	0.052		11	0.21	12.6	0.131		6	0.86	51.6	0.346		11	0.79	47.4	0.14		11	0.29	17.4	0.14
12	0.32	19.2	0.275		3	0.3	18	0.277		12	0.42	25.2	0.287		12	0.36	21.6	0.135		12	0.27	16.2	0.287		7	0.75	45	0.291		12	0.58	34.8	0.457		12	0.43	25.8	0.231
13	0.48	28.8	0.585		4	0.31	18.6	0.407		13	0.49	29.4	0.133		13	0.61	36.6	0.191		13	0.36	21.6	0.391		8	0.3	18	0.433		13	0.31	18.6	0.212		13	0.41	24.6	0.069
14	0.25	15	0.276		5	0.29	17.4	0.178		14	0.67	40.2	0.181		14	0.68	40.8	0.056		14	0.36	21.6	0.409		9	0.81	48.6	0.165		14	0.22	13.2	0.236		14	0.4	24	0.127
15	0.25	15	0.274		6	0.19	11.4	0.365		15	0.83	49.8	0.157		15	0.61	36.6	0.224		15	0.15	9	0.219		10	1.01	60.6	0.332		15	0.43	25.8	0.08		15	0.55	33	0.181
16	0.21	12.6	0.051		7	0.48	28.8	0.091		16	0.44	26.4	0.233		16	0.68	40.8	0.078		16	0.17	10.2	0.374		11	0.46	27.6	0.209		16	0.11	6.6	0.25		16	0.53	31.8	0.128
17	0.2	12	0.365		8	0.5	30	0.508		17	0.16	9.6	0.419		17	0.6	36	0.312		1	0.35	21	0.195		12	0.18	10.8	0.28		17	0.2	12	0.226		17	0.35	21	0.135
18	0.43	25.8	0.602		9	0.67	40.2	0.592		18	0.35	21	0.304		18	0.64	38.4	0.204		2	0.21	12.6	0.191		13	0.21	12.6	0.22		18	0.32	19.2	0.349		18	0.6	36	0.528
19	0.25	15	0.4		10	0.19	11.4	0.594		19	0.8	48	0.167		19	0.76	45.6	0.416		3	0.3	18	0.173		14	0.63	37.8	0.229		19	0.23	13.8	0.574		19	0.29	17.4	0.137
20	0.37	22.2	0.496		11	0.42	25.2	0.418		20	0.46	27.6	0.139		1	0.4	24	0.373		4	0.63	37.8	0.386		15	0.55	33	0.266		20	0.32	19.2	0.332		20	0.53	31.8	0.163
21	0.34	20.4	0.538		12	0.35	21	0.839		21	0.45	27	0.211		2	0.76	45.6	0.065		5	0.43	25.8	0.132		1	0.66	39.6	0.363		21	0.12	7.2	0.327		21	0.58	34.8	0.224
22	0.23	13.8	0.35		1	0.48	28.8	0.82		22	0.54	32.4	0.227		3	0.69	41.4	0.363		6	0.15	9	0.146		2	0.15	9	0.136		22	0.22	13.2	0.226		1	0.23	13.8	0.512
23	0.66	39.6	0.636		2	0.28	16.8	0.348		23	0.55	33	0.16		4	0.52	31.2	0.277		7	0.33	19.8	0.257		3	0.35	21	0.091		1	0.31	18.6	0.126		2	0.28	16.8	0.162
1	0.1	6	0.144		3	0.17	10.2	0.399		24	0.81	48.6	0.186		5	0.75	45	0.122		8	0.67	40.2	0.249		4	0.22	13.2	0.269		2	0.58	34.8	0.038		3	0.23	13.8	0.096
2	0.19	11.4	0.321		4	0.38	22.8	0.082		25	0.56	33.6	0.177		6	0.78	46.8	0.122		9	0.29	17.4	0.23		5	0.73	43.8	0.207		3	0.73	43.8	0.062		4	0.47	28.2	0.086
3	0.17	10.2	0.231		5	0.27	16.2	0.382		26	0.52	31.2	0.152		7	0.25	15	0.129		10	0.16	9.6	0.109		6	0.6	36	0.182		4	0.69	41.4	0.092		5	0.66	39.6	0.103
4	0.18	10.8	0.294		6	0.56	33.6	0.705		27	0.63	37.8	0.354		8	0.56	33.6	0.279		11	0.49	29.4	0.391		7	0.5	30	0.07		5	0.59	35.4	0.13		6	0.16	9.6	0.351
5	0.17	10.2	0.27		7	0.23	13.8	0.397		1	0.92	55.2	0.123		9	0.4	24	0.162		12	0.58	34.8	0.27		8	0.45	27	0.045		6	0.99	59.4	0.184		7	0.42	25.2	0.395
6	0.17	10.2	0.34		8	0.2	12	0.292		2	0.59	35.4	0.16		10	0.49	29.4	0.15		13	0.46	27.6	0.126		9	0.16	9.6	0.182		7	0.28	16.8	0.282		8	0.72	43.2	0.227
7	0.17	10.2	0.465		9	0.26	15.6	0.228		3	0.39	23.4	0.092		11	0.52	31.2	0.383		14	0.25	15	0.336		10	0.35	21	0.144		8	0.67	40.2	0.255		9	0.76	45.6	0.114
8	0.22	13.2	0.295		10	0.58	34.8	0.152		4	0.22	13.2	0.2		12	0.41	24.6	0.161		15	0.39	23.4	0.137		11	0.25	15	0.15		9	0.47	28.2	0.195		10	0.79	47.4	0.09
9	0.33	19.8	0.163		11	0.22	13.2	0.396		5	0.12	7.2	0.395		1	0.22	13.2	0.092		16	0.28	16.8	0.399		12	0.12	7.2	0.175		10	0.18	10.8	0.367		11	0.42	25.2	0.24
10	0.26	15.6	0.38		12	0.48	28.8	0.303		6	0.42	25.2	0.067		2	0.44	26.4	0.124		1	0.53	31.8	0.151		13	0.39	23.4	0.098		11	0.41	24.6	0.082		12	0.49	29.4	0.266
11	0.27	16.2	0.242		13	0.23	13.8	0.263		7	0.61	36.6	0.076		3	0.35	21	0.231		2	0.21	12.6	0.212		14	0.07	4.2	0.471		12	0.45	27	0.061		13	0.45	27	0.357
12	0.19	11.4	0.254		14	0.34	20.4	0.186		8	0.51	30.6	0.242		4	0.65	39	0.164		3	0.21	12.6	0.441		15	0.4	24	0.201		13	0.71	42.6	0.228		14	0.33	19.8	0.159
13	0.15	9	0.109		1	0.22	13.2	0.259		9	0.62	37.2	0.067		5	0.56	33.6	0.112		4	0.35	21	0.295		16	0.38	22.8	0.207		14	0.87	52.2	0.268		15	0.84	50.4	0.153
14	0.21	12.6	0.386		2	0.53	31.8	0.245		10	0.36	21.6	0.202		6	0.23	13.8	0.084		5	0.56	33.6	0.144		17	0.07	4.2	0.535		15	0.75	45	0.135		16	0.54	32.4	0.15
15	0.18	10.8	0.215		3	0.23	13.8	0.376		11	0.58	34.8	0.309		7	0.97	58.2	0.194		6	0.27	16.2	0.325		18	0.46	27.6	0.276		16	0.41	24.6	0.108		17	0.43	25.8	0.24
16	0.19	11.4	0.202		4	0.19	11.4	0.221		12	0.21	12.6	0.093		8	0.63	37.8	0.161		7	0.45	27	0.256		19	0.34	20.4	0.465		17	0.63	37.8	0.098		18	0.56	33.6	0.599
17	0.26	15.6	0.497		5	0.17	10.2	0.14		13	0.48	28.8	0.298		9	0.51	30.6	0.139		8	0.84	50.4	0.105		1	0.53	31.8	0.166		1	0.68	40.8	0.214		19	0.45	27	0.27
18	0.11	6.6	0.177		6	0.25	15	0.629		14	0.49	29.4	0.075		10	0.61	36.6	0.17		9	0.31	18.6	0.061		2	0.48	28.8	0.18		2	0.34	20.4	0.05		20	0.54	32.4	0.315
19	0.21	12.6	0.506		7	0.16	9.6	0.398		15	0.65	39	0.3		11	0.22	13.2	0.117		10	0.21	12.6	0.067		3	0.52	31.2	0.071		3	0.33	19.8	0.439		1	0.37	22.2	0.053
20	0.17	10.2	0.278		1	0.32	19.2	0.51		16	0.54	32.4	0.204		12	0.8	48	0.243		11	0.49	29.4	0.253		4	0.27	16.2	0.249		4	0.9	54	0.102		2	0.42	25.2	0.323
21	0.16	9.6	0.101		2	0.36	21.6	0.302		17	0.45	27	0.253		13	0.54	32.4	0.203		12	0.12	7.2	0.282		5	0.43	25.8	0.042		5	0.46	27.6	0.23		3	0.26	15.6	0.056
22	0.12	7.2	0.129		3	0.19	11.4	0.644		18	0.48	28.8	0.138		14	0.63	37.8	0.307		13	0.45	27	0.166		6	0.48	28.8	0.094		6	0.35	21	0.084		4	0.43	25.8	0.064
23	0.33	19.8	0.129		4	0.22	13.2	0.312		19	0.5	30	0.254		15	0.37	22.2	0.115		14	0.2	12	0.23		7	0.52	31.2	0.163		7	0.33	19.8	0.171		5	0.19	11.4	0.077
