Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID18177 : ID18121),1,18177,18121,86.618,0.500,416.343,341.380,0,9.307,9.307,None
(ID18121 : ID18205),1,18121,18205,158.841,1.500,418.672,342.518,0,12.603,12.603,None
(ID18205 : ID18151),1,18205,18151,0.346,2.500,421.264,348.583,0,0.588,0.588,None
(ID18151 : ID18235),1,18151,18235,7.675,3.500,420.199,348.113,0,2.770,2.770,None
(ID18235 : ID18263),1,18235,18263,119.934,4.500,422.939,351.204,0,10.951,10.951,None
(ID18263 : ID18289),1,18263,18289,181.904,5.500,421.973,350.380,0,13.487,13.487,None
(ID18289 : ID18319),1,18289,18319,211.712,6.500,421.281,351.672,0,14.550,14.550,None
(ID18319 : ID18344),1,18319,18344,70.653,7.500,423.020,354.206,0,8.406,8.406,None
(ID18344 : ID18371),1,18344,18371,152.651,8.500,424.748,355.342,0,12.355,12.355,None
(ID18371 : ID18399),1,18371,18399,80.522,9.500,425.438,357.068,0,8.973,8.973,None
(ID18399 : ID18426),1,18399,18426,159.939,10.500,417.097,350.192,0,12.647,12.647,None
(ID18426 : ID18454),1,18426,18454,322.894,11.500,419.039,352.017,0,17.969,17.969,None
(ID18454 : ID18530),1,18454,18530,246.846,12.500,420.428,352.193,0,15.711,15.711,None
(ID18530 : ID18478),1,18530,18478,93.786,13.500,418.258,350.096,0,9.684,9.684,None
(ID18478 : ID18503),1,18478,18503,313.665,14.500,415.269,347.401,0,17.711,17.711,None
(ID18503 : ID18555),1,18503,18555,258.885,15.500,413.606,347.731,0,16.090,16.090,None
(ID18555 : ID18634),1,18555,18634,359.992,16.500,412.736,346.580,0,18.973,18.973,None
(ID18634 : ID18580),1,18634,18580,360.115,17.500,413.230,346.212,0,18.977,18.977,None
(ID18580 : ID18607),1,18580,18607,394.406,18.500,413.021,345.814,0,19.860,19.860,None
(ID18607 : ID18663),1,18607,18663,314.511,19.500,412.587,344.797,0,17.734,17.734,None
(ID18663 : ID18715),1,18663,18715,420.467,20.500,410.539,344.878,0,20.505,20.505,None
(ID18715 : ID18689),1,18715,18689,23.544,21.500,401.919,335.907,0,4.852,4.852,None
(ID18689 : ID18742),1,18689,18742,4.594,22.500,400.692,334.648,0,2.143,2.143,None
(ID18742 : ID18800),1,18742,18800,1.215,23.500,400.491,335.129,0,1.102,1.102,None
(ID18800 : ID18770),1,18800,18770,10.853,24.500,400.879,336.234,0,3.294,3.294,None
(ID18770 : ID18828),1,18770,18828,213.854,25.500,400.366,330.591,0,14.624,14.624,None
(ID18828 : ID18857),1,18828,18857,305.944,26.500,401.581,331.841,0,17.491,17.491,None
(ID18857 : ID18885),1,18857,18885,76.471,27.500,401.967,336.284,0,8.745,8.745,None
(ID18885 : ID18914),1,18885,18914,226.186,28.500,404.510,338.499,0,15.039,15.039,None
(ID18914 : ID18942),1,18914,18942,10.072,29.500,409.669,345.987,0,3.174,3.174,None
(ID18942 : ID18972),1,18942,18972,10.033,30.500,409.870,345.840,0,3.168,3.168,None
(ID18972 : ID19002),1,18972,19002,8.371,31.500,410.066,345.504,0,2.893,2.893,None
(ID19002 : ID19030),1,19002,19030,80.829,32.500,414.047,349.908,0,8.991,8.991,None
(ID19030 : ID19058),1,19030,19058,0.506,33.500,417.155,353.623,0,0.711,0.711,None
(ID19058 : ID19087),1,19058,19087,105.837,34.500,413.761,350.227,0,10.288,10.288,None
(ID19087 : ID19112),1,19087,19112,296.575,35.500,406.857,338.582,0,17.221,17.221,None
(ID18178 : ID18123),2,18178,18123,43.578,0.500,341.865,367.645,0,6.601,6.601,None
(ID18123 : ID18206),2,18123,18206,113.781,1.500,343.215,359.117,0,10.667,10.667,None
(ID18206 : ID18152),2,18206,18152,20.924,2.500,344.999,351.778,0,4.574,4.574,None
(ID18152 : ID18234),2,18152,18234,29.781,3.500,346.235,346.995,0,5.457,5.457,None
(ID18234 : ID18262),2,18234,18262,10.549,4.500,346.890,342.704,0,3.248,3.248,None
(ID18262 : ID18288),2,18262,18288,8.668,5.500,346.677,339.791,0,2.944,2.944,None
(ID18288 : ID18318),2,18288,18318,0.842,6.500,345.983,338.903,0,0.918,0.918,None
(ID18318 : ID18343),2,18318,18343,2.809,7.500,345.443,340.057,0,1.676,1.676,None
(ID18343 : ID18370),2,18343,18370,2.971,8.500,344.644,341.550,0,1.724,1.724,None
(ID18370 : ID18398),2,18370,18398,16.367,9.500,343.374,344.139,0,4.046,4.046,None
(ID18398 : ID18425),2,18398,18425,50.895,10.500,343.152,342.440,0,7.134,7.134,None
(ID18425 : ID18452),2,18425,18452,29.816,11.500,343.830,336.213,0,5.460,5.460,None
(ID18452 : ID18529),2,18452,18529,1.264,12.500,344.071,332.989,0,1.124,1.124,None
(ID18529 : ID18476),2,18529,18476,0.094,13.500,344.486,332.451,0,0.307,0.307,None
(ID18476 : ID18504),2,18476,18504,108.436,14.500,343.216,337.417,0,10.413,10.413,None
(ID18504 : ID18553),2,18504,18553,50.672,15.500,342.830,339.020,0,7.118,7.118,None
(ID18553 : ID18633),2,18553,18633,16.916,16.500,345.354,334.199,0,4.113,4.113,None
(ID18633 : ID18578),2,18633,18578,79.498,17.500,343.576,335.814,0,8.916,8.916,None
(ID18578 : ID18606),2,18578,18606,7.991,18.500,341.232,337.776,0,2.827,2.827,None
(ID18606 : ID18661),2,18606,18661,6.506,19.500,341.792,337.931,0,2.551,2.551,None
(ID18661 : ID18716),2,18661,18716,0.038,20.500,341.346,339.095,0,0.194,0.194,None
(ID18716 : ID18690),2,18716,18690,6.286,21.500,342.485,338.738,0,2.507,2.507,None
(ID18690 : ID18743),2,18690,18743,1.759,22.500,344.356,338.333,0,1.326,1.326,None
(ID18743 : ID18801),2,18743,18801,8.638,23.500,346.290,338.952,0,2.939,2.939,None
(ID18801 : ID18771),2,18801,18771,1.721,24.500,348.176,339.922,0,1.312,1.312,None
(ID18771 : ID18829),2,18771,18829,0.386,25.500,349.071,340.047,0,0.621,0.621,None
(ID18829 : ID18858),2,18829,18858,4.463,26.500,349.502,340.973,0,2.113,2.113,None
(ID18858 : ID18887),2,18858,18887,3.636,27.500,348.768,342.387,0,1.907,1.907,None
(ID18887 : ID18913),2,18887,18913,9.538,28.500,348.423,341.305,0,3.088,3.088,None
(ID18913 : ID18941),2,18913,18941,27.175,29.500,346.560,338.833,0,5.213,5.213,None
(ID18941 : ID18971),2,18941,18971,1.401,30.500,344.733,337.971,0,1.184,1.184,None
(ID18971 : ID19001),2,18971,19001,43.716,31.500,342.009,338.433,0,6.612,6.612,None
(ID19001 : ID19028),2,19001,19028,3.509,32.500,338.939,339.642,0,1.873,1.873,None
(ID19028 : ID19056),2,19028,19056,9.984,33.500,339.387,338.989,0,3.160,3.160,None
(ID19056 : ID19086),2,19056,19086,10.367,34.500,339.300,339.005,0,3.220,3.220,None
(ID19086 : ID19113),2,19086,19113,11.720,35.500,340.571,341.231,0,3.423,3.423,None
(ID19113 : ID19137),2,19113,19137,16.297,36.500,341.754,343.857,0,4.037,4.037,None
