Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_2,33,1,3,0,0,0,35,0,35,24.477,2,2,457.326,23.291,0,1.914,8.792,0.452,1.447,1.587,3.777,4.241,3.395,3.731,0.202
Track_4,97,0,0,0,0,0,96,0,96,38.066,4,4,312.827,231.330,0,3.507,13.613,0.063,3.054,2.597,4.384,5.012,3.398,4.571,0.467
Track_9,97,0,0,0,0,0,96,0,96,36.321,9,9,407.681,406.667,0,2.378,9.328,0.185,1.942,1.830,3.983,4.866,3.559,3.863,0.343
Track_13,91,1,2,0,0,0,92,0,92,24.037,13,13,410.886,471.709,0,1.849,9.762,0.117,1.359,1.575,4.125,4.797,3.770,4.116,0.198
Track_16,97,0,0,0,0,0,96,0,96,115.305,16,16,227.202,433.476,0,2.461,15.543,0.063,1.421,2.587,4.497,5.570,3.548,4.584,0.428
Track_20,96,0,0,0,0,0,95,1,96,143.839,20,20,465.424,571.894,0,4.289,15.787,0.433,2.942,3.526,4.388,5.341,3.246,4.559,0.503
Track_22,32,3,3,0,0,0,36,1,37,17.559,22,22,123.911,574.118,0,2.980,7.505,0.437,2.704,1.873,3.502,4.268,3.046,3.535,0.343
Track_24,32,1,1,0,0,0,32,3,35,21.563,24,24,202.228,442.364,0,2.836,9.839,0.115,2.465,2.108,3.907,4.393,3.548,3.892,0.194
Track_26,84,2,3,0,0,0,88,8,96,39.047,26,26,522.846,579.896,0,2.920,12.551,0.211,2.457,2.318,4.088,4.818,3.144,4.070,0.372
Track_43,63,1,2,0,0,0,64,32,96,62.442,43,43,523.270,587.198,0,2.790,8.528,0.119,2.432,1.867,4.285,4.772,3.682,4.289,0.186
Track_47,61,0,0,0,0,0,60,36,96,35.162,47,47,242.083,471.430,0,2.363,9.694,0.221,2.035,1.742,4.405,5.171,3.926,4.355,0.279
Track_48,35,1,2,0,0,0,36,37,73,14.825,48,48,115.011,584.778,0,3.518,8.795,0.803,2.902,2.410,3.501,4.007,3.015,3.590,0.287
Track_51,46,1,3,0,0,0,48,48,96,25.895,51,51,471.677,575.438,0,4.088,17.099,0.491,2.453,4.114,4.058,4.970,3.101,4.063,0.505
Track_62,28,0,0,0,0,0,27,69,96,17.002,62,62,381.165,453.201,0,3.446,12.547,0.400,2.124,3.048,4.341,5.152,3.597,4.267,0.491
