Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID14963 : ID14913),7,14963,14913,7.817,0.500,453.634,250.146,0,2.796,2.796,None
(ID14913 : ID14945),7,14913,14945,11.584,1.500,455.734,252.046,0,3.404,3.404,None
(ID14945 : ID14928),7,14945,14928,0.841,2.500,456.287,253.159,0,0.917,0.917,None
(ID14928 : ID15000),7,14928,15000,0.774,3.500,456.242,253.159,0,0.880,0.880,None
(ID15000 : ID14982),7,15000,14982,2.082,4.500,457.100,253.419,0,1.443,1.443,None
(ID14982 : ID15018),7,14982,15018,4.792,5.500,456.719,253.401,0,2.189,2.189,None
(ID15018 : ID15036),7,15018,15036,0.526,6.500,455.291,253.655,0,0.725,0.725,None
(ID15036 : ID15055),7,15036,15055,1.678,7.500,455.402,253.313,0,1.296,1.296,None
(ID15055 : ID15074),7,15055,15074,13.432,8.500,455.281,251.110,0,3.665,3.665,None
(ID15074 : ID15093),7,15074,15093,1.875,9.500,454.022,249.388,0,1.369,1.369,None
(ID15093 : ID15111),7,15093,15111,13.157,10.500,454.048,251.074,0,3.627,3.627,None
(ID15111 : ID15149),7,15111,15149,0.469,11.500,454.964,253.017,0,0.685,0.685,None
(ID15149 : ID15129),7,15149,15129,22.933,12.500,454.889,250.913,0,4.789,4.789,None
(ID15129 : ID15167),7,15129,15167,0.633,13.500,454.220,248.447,0,0.795,0.795,None
(ID15167 : ID15185),7,15167,15185,0.396,14.500,453.534,248.257,0,0.629,0.629,None
(ID15185 : ID15201),7,15185,15201,51.423,15.500,455.775,250.688,0,7.171,7.171,None
(ID15201 : ID15219),7,15201,15219,9.518,16.500,457.311,252.048,0,3.085,3.085,None
(ID15219 : ID15237),7,15219,15237,2.691,17.500,456.460,250.070,0,1.640,1.640,None
(ID15237 : ID15255),7,15237,15255,1.615,18.500,457.171,249.566,0,1.271,1.271,None
(ID15255 : ID15274),7,15255,15274,32.514,19.500,455.610,251.775,0,5.702,5.702,None
(ID15274 : ID15291),7,15274,15291,30.176,20.500,455.774,252.157,0,5.493,5.493,None
(ID15291 : ID15310),7,15291,15310,1.087,21.500,457.588,250.855,0,1.043,1.043,None
