Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID28293,28293,4,4.379,280.808,394.646,0,0,0,7,1,-10921639,181.228,199,21,255,74847,62.313,11.165,0.535,2.027
ID28352,28352,4,4.738,293.406,387.175,0,1,1,7,1,-10921639,194.550,223,28,255,80349,68.003,11.168,0.560,2.055
ID28384,28384,4,5.431,286.721,402.864,0,4,4,7,1,-10921639,237.966,255,137,255,98280,29.204,11.550,0.664,6.505
ID28447,28447,4,5.176,277.620,404.857,0,5,5,7,1,-10921639,233.504,255,111,255,96437,34.273,11.458,0.611,5.168
ID28475,28475,4,5.208,289.475,407.927,0,6,6,7,1,-10921639,232.496,255,126,255,96021,32.227,11.425,0.619,5.516
ID28415,28415,4,4.946,292.298,412.908,0,7,7,7,1,-10921639,214.579,249,36,255,88621,59.921,11.292,0.578,2.623
ID28533,28533,4,4.975,287.993,430.928,0,8,8,7,1,-10921639,209.329,231,51,255,86453,55.668,11.259,0.587,2.780
ID28561,28561,4,5.073,278.430,430.978,0,9,9,7,1,-10921639,220.857,244,82,255,91214,43.812,11.333,0.600,3.781
ID28504,28504,4,4.706,286.506,438.479,0,10,10,7,1,-10921639,194.806,223,30,255,80455,67.393,11.162,0.550,2.051
ID28590,28590,4,5.038,270.661,456.748,0,11,11,7,1,-10921639,212.554,239,54,255,87785,54.110,11.274,0.597,2.938
ID28619,28619,4,5.095,262.591,472.353,0,12,12,7,1,-10921639,218.136,241,62,255,90090,47.046,11.308,0.606,3.501
ID28647,28647,4,4.261,266.022,474.194,0,13,13,7,1,-10921639,179.005,200,34,253,73929,62.994,11.157,0.518,1.939
ID28674,28674,4,4.460,263.279,474.040,0,14,14,7,1,-10921639,184.145,210,37,255,76052,68.303,11.134,0.524,1.854
ID28700,28700,4,4.964,264.748,474.921,0,15,15,7,1,-10921639,200.881,226,45,255,82964,62.815,11.200,0.595,2.385
ID28726,28726,4,5.247,258.358,462.128,0,16,16,7,1,-10921639,229.651,254,90,255,94846,35.773,11.409,0.630,4.960
ID28756,28756,4,4.593,262.413,473.132,0,17,17,7,1,-10921639,208.010,219,94,255,85908,39.335,11.340,0.540,3.709
ID28784,28784,4,4.819,252.990,480.196,0,18,18,7,1,-10921639,209.542,228,57,255,86541,50.660,11.275,0.557,2.960
ID28813,28813,4,5.233,254.299,468.589,0,19,19,7,1,-10921639,221.276,253,73,255,91387,46.075,11.341,0.630,3.711
ID28872,28872,4,3.024,245.530,473.203,0,20,20,7,1,-10921639,114.327,99,0,255,47217,84.435,7.980,0.287,0.604
ID28895,28895,4,4.296,238.562,461.621,0,21,21,7,1,-10921639,192.039,215,17,255,79312,66.335,11.215,0.489,1.902
ID28843,28843,4,4.151,230.941,464.865,0,22,22,7,1,-10921639,175.533,190,16,255,72495,64.228,11.112,0.485,1.785
ID28921,28921,4,3.319,240.152,458.983,0,23,23,7,1,-10921639,183.971,184,82,255,75980,45.247,11.232,0.341,2.067
ID28976,28976,4,3.033,234.396,453.653,0,24,24,7,1,-10921639,210.467,216,108,255,86923,39.546,18.356,0.285,2.358
ID28298,28298,8,4.954,532.152,506.753,0,0,0,7,1,-10921639,206.525,231,55,255,85295,57.695,11.203,0.582,2.634
ID28357,28357,8,4.756,538.329,515.553,0,1,1,7,1,-10921639,194.126,214,42,255,80174,65.930,11.132,0.556,2.103
ID28327,28327,8,4.536,533.326,503.275,0,2,2,7,1,-10921639,183.264,200,33,255,75688,71.839,11.106,0.534,1.776
ID28266,28266,8,4.556,532.797,489.589,0,3,3,7,1,-10921639,180.918,201,31,255,74719,70.727,11.101,0.547,1.809
ID28389,28389,8,4.790,532.205,479.619,0,4,4,7,1,-10921639,174.424,191,15,255,72037,72.642,11.127,0.640,1.874
ID28449,28449,8,4.322,532.194,481.551,0,5,5,7,1,-10921639,169.835,183,34,255,70142,72.074,8.514,0.514,1.600
ID28478,28478,8,4.469,527.349,458.376,0,6,6,7,1,-10921639,190.998,196,66,251,78882,45.562,11.247,0.550,2.976
ID28417,28417,8,4.946,526.822,466.955,0,7,7,7,1,-10921639,196.661,217,37,255,81221,62.353,11.157,0.598,2.360
ID28534,28534,8,5.309,526.293,448.132,0,8,8,7,1,-10921639,209.201,240,55,255,86400,56.040,11.252,0.661,2.972
ID28564,28564,8,5.090,520.938,460.489,0,9,9,7,1,-10921639,203.651,232,48,255,84108,61.713,11.193,0.617,2.519
ID28505,28505,8,4.951,520.810,474.829,0,10,10,7,1,-10921639,204.571,219,58,255,84488,53.097,11.206,0.587,2.851
ID28591,28591,8,4.861,518.599,458.264,0,11,11,7,1,-10921639,195.729,214,42,255,80836,62.863,11.132,0.577,2.277
ID28618,28618,8,4.372,516.819,458.221,0,12,12,7,1,-10921639,179.642,189,41,255,74192,59.687,11.127,0.523,2.067
ID28646,28646,8,3.678,519.405,450.134,0,13,13,7,1,-10921639,156.172,169,35,243,64499,65.219,8.496,0.454,1.496
ID28671,28671,8,4.506,525.977,446.816,0,14,14,7,1,-10921639,180.264,191,38,255,74449,66.547,11.078,0.535,1.888
ID28698,28698,8,4.230,522.180,446.855,0,15,15,7,1,-10921639,165.525,184,31,255,68362,75.495,8.459,0.504,1.470
ID28724,28724,8,4.753,526.392,429.560,0,16,16,7,1,-10921639,189.966,207,41,255,78456,63.692,11.143,0.568,2.161
ID28753,28753,8,4.968,530.171,431.361,0,17,17,7,1,-10921639,204.874,225,68,255,84613,56.311,11.208,0.586,2.688
ID28780,28780,8,5.177,531.916,427.525,0,18,18,7,1,-10921639,209.596,238,65,255,86563,54.407,11.239,0.629,2.974
