Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_4,23,1,2,0,0,0,24,0,24,75.072,4,4,266.009,446.060,0,10.764,24.183,1.714,11.022,5.302,4.616,5.431,3.024,4.819,0.672
Track_8,97,0,0,0,0,0,96,0,96,78.604,8,8,551.491,446.711,0,6.316,23.676,0.098,4.404,5.498,4.970,5.309,3.562,5.071,0.313
Track_10,62,0,0,0,0,0,61,0,61,80.216,10,10,359.046,536.735,0,6.611,16.336,0.326,5.568,3.799,5.403,5.823,3.793,5.484,0.335
Track_18,47,0,0,0,0,0,46,0,46,38.835,18,18,596.241,47.047,0,5.241,18.137,0.503,3.129,5.005,4.235,5.016,3.129,4.224,0.479
Track_20,36,0,0,0,0,0,35,0,35,39.956,20,20,366.593,148.217,0,5.383,20.942,0.237,4.971,4.232,5.734,6.069,5.255,5.866,0.241
Track_24,31,2,4,0,0,0,37,0,37,33.049,24,24,193.359,174.154,0,6.977,22.470,0.364,5.982,5.967,4.978,5.723,3.079,4.975,0.638
Track_29,30,0,0,0,0,0,29,1,30,44.995,29,29,223.023,49.507,0,6.617,23.066,1.506,5.003,4.822,4.018,4.694,3.213,4.033,0.371
Track_47,78,5,3,0,0,0,88,8,96,63.730,47,47,256.765,54.688,0,5.307,22.124,0.087,3.964,4.593,4.003,4.570,3.378,3.993,0.231
Track_73,18,2,4,0,0,0,24,14,38,53.832,73,73,177.326,190.627,0,5.368,24.462,0.710,3.044,6.914,3.794,4.937,3.039,3.738,0.513
Track_86,48,4,2,0,0,0,52,19,71,23.795,86,86,653.775,442.704,0,6.093,14.524,0.158,5.411,4.453,4.110,5.280,3.061,4.105,0.760
Track_116,34,0,0,0,0,0,33,27,60,30.318,116,116,414.656,65.567,0,9.504,19.306,2.049,8.126,4.989,4.428,5.282,3.769,4.383,0.387
Track_130,58,0,0,0,0,0,57,34,91,80.000,130,130,403.773,110.963,0,9.493,21.721,0.922,9.773,4.633,4.521,5.443,3.277,4.577,0.627
Track_133,62,0,0,0,0,0,61,35,96,58.055,133,133,583.070,150.142,0,4.415,13.271,0.432,3.803,3.009,5.193,5.922,4.413,5.048,0.397
Track_134,62,0,0,0,0,0,61,35,96,44.869,134,134,589.336,165.642,0,3.577,14.044,0.255,2.699,3.140,5.115,5.625,4.481,5.078,0.310
Track_138,47,0,0,0,0,0,46,36,82,32.049,138,138,372.421,100.627,0,4.305,13.683,0.841,3.067,3.256,5.573,5.930,4.951,5.612,0.287
Track_140,56,2,1,0,0,0,57,39,96,46.967,140,140,336.862,483.463,0,9.454,22.242,1.302,8.874,4.536,4.084,4.941,3.037,4.151,0.434
Track_148,30,3,2,0,0,0,33,40,73,68.518,148,148,385.582,96.908,0,8.636,20.788,1.407,8.470,4.500,4.342,5.386,3.078,4.409,0.674
Track_149,56,1,1,0,0,0,56,40,96,20.753,149,149,234.670,217.774,0,3.252,12.777,0.233,2.551,2.626,3.872,4.815,3.058,3.807,0.445
Track_160,24,1,4,0,0,0,27,48,75,58.730,160,160,601.613,106.575,0,8.656,23.746,0.725,6.528,6.981,4.234,4.854,3.319,4.247,0.393
Track_178,31,1,1,0,0,0,31,61,92,69.935,178,178,144.553,292.222,0,9.053,20.018,1.015,8.831,5.305,4.253,4.877,3.144,4.375,0.434
Track_194,23,1,3,0,0,0,25,71,96,16.886,194,194,420.035,129.983,0,8.425,19.422,1.180,7.746,4.500,4.291,5.415,3.031,4.515,0.830
Track_199,22,1,2,0,0,0,23,73,96,62.774,199,199,359.345,488.240,0,6.758,17.910,0.841,6.537,3.997,4.247,4.885,3.099,4.266,0.440
