Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID48 : ID98),2,48,98,61.167,0.500,220.459,44.496,0,7.821,7.821,None
(ID98 : ID71),2,98,71,46.323,1.500,227.416,46.748,0,6.806,6.806,None
(ID71 : ID120),2,71,120,20.012,2.500,232.624,48.879,0,4.474,4.474,None
(ID120 : ID188),2,120,188,72.576,3.500,238.707,48.689,0,8.519,8.519,None
(ID188 : ID142),2,188,142,33.304,4.500,245.045,45.684,0,5.771,5.771,None
(ID142 : ID167),2,142,167,56.347,5.500,244.352,41.550,0,7.506,7.506,None
(ID167 : ID209),2,167,209,32.539,6.500,239.336,37.262,0,5.704,5.704,None
(ID209 : ID230),2,209,230,6.248,7.500,238.201,34.476,0,2.500,2.500,None
(ID230 : ID274),2,230,274,51.233,8.500,242.660,34.284,0,7.158,7.158,None
(ID274 : ID252),2,274,252,15.247,9.500,248.133,34.981,0,3.905,3.905,None
(ID252 : ID298),2,252,298,105.350,10.500,253.007,39.262,0,10.264,10.264,None
(ID298 : ID318),2,298,318,63.387,11.500,258.792,46.247,0,7.962,7.962,None
(ID318 : ID361),2,318,361,3.679,12.500,262.065,49.880,0,1.918,1.918,None
(ID361 : ID341),2,361,341,32.984,13.500,259.604,50.658,0,5.743,5.743,None
(ID341 : ID384),2,341,384,29.597,14.500,254.033,50.888,0,5.440,5.440,None
(ID384 : ID406),2,384,406,9.048,15.500,250.509,52.466,0,3.008,3.008,None
(ID406 : ID444),2,406,444,42.545,16.500,249.175,56.946,0,6.523,6.523,None
(ID444 : ID425),2,444,425,32.523,17.500,250.214,57.774,0,5.703,5.703,None
(ID425 : ID463),2,425,463,1.374,18.500,252.309,55.166,0,1.172,1.172,None
(ID463 : ID482),2,463,482,1.065,19.500,253.091,55.411,0,1.032,1.032,None
(ID482 : ID523),2,482,523,1.474,20.500,253.211,56.466,0,1.214,1.214,None
(ID523 : ID500),2,523,500,1.724,21.500,252.466,56.880,0,1.313,1.313,None
(ID500 : ID543),2,500,543,0.514,22.500,252.085,56.442,0,0.717,0.717,None
(ID543 : ID565),2,543,565,2.899,23.500,252.191,57.024,0,1.703,1.703,None
(ID565 : ID589),2,565,589,11.333,24.500,253.705,58.160,0,3.366,3.366,None
