Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID34272 : ID34323),0,34272,34323,0.820,0.500,274.897,560.239,0,0.906,0.906,None
(ID34323 : ID34350),0,34323,34350,0.075,1.500,274.925,560.678,0,0.274,0.274,None
(ID34350 : ID34297),0,34350,34297,0.921,2.500,275.164,561.146,0,0.959,0.959,None
(ID34297 : ID34377),0,34297,34377,0.124,3.500,275.433,561.669,0,0.352,0.352,None
(ID34377 : ID34401),0,34377,34401,0.036,4.500,275.683,561.770,0,0.189,0.189,None
(ID34401 : ID34428),0,34401,34428,0.126,5.500,275.828,561.982,0,0.355,0.355,None
(ID34428 : ID34453),0,34428,34453,0.102,6.500,275.744,562.084,0,0.320,0.320,None
(ID34453 : ID34482),0,34453,34482,0.077,7.500,275.712,561.939,0,0.277,0.277,None
(ID34482 : ID34508),0,34482,34508,9.491,8.500,274.324,561.512,0,3.081,3.081,None
(ID34508 : ID34536),0,34508,34536,1.316,9.500,273.012,560.623,0,1.147,1.147,None
(ID34536 : ID34565),0,34536,34565,2.400,10.500,273.400,560.830,0,1.549,1.549,None
(ID34565 : ID34594),0,34565,34594,0.286,11.500,273.866,561.591,0,0.535,0.535,None
(ID34594 : ID34620),0,34594,34620,6.576,12.500,273.845,560.354,0,2.564,2.564,None
(ID34620 : ID34778),0,34620,34778,29.739,15.500,273.230,561.811,0,1.091,5.453,None
(ID34778 : ID34727),0,34778,34727,75.002,18.500,275.174,568.206,0,8.660,8.660,None
(ID34727 : ID34805),0,34727,34805,80.103,19.500,279.631,575.798,0,8.950,8.950,None
(ID34805 : ID34831),0,34805,34831,63.481,20.500,283.172,583.449,0,7.967,7.967,None
(ID34831 : ID34858),0,34831,34858,131.732,21.500,286.302,592.652,0,11.477,11.477,None
(ID34858 : ID34882),0,34858,34882,105.433,22.500,289.793,602.949,0,10.268,10.268,None
(ID34882 : ID34910),0,34882,34910,36.749,23.500,292.268,610.722,0,6.062,6.062,None
(ID34910 : ID34938),0,34910,34938,59.440,24.500,294.247,617.313,0,7.710,7.710,None
(ID34273 : ID34324),1,34273,34324,1.191,0.500,287.682,584.774,0,1.091,1.091,None
(ID34324 : ID34351),1,34324,34351,0.095,1.500,287.685,585.244,0,0.309,0.309,None
(ID34351 : ID34298),1,34351,34298,0.740,2.500,287.653,585.579,0,0.860,0.860,None
(ID34298 : ID34378),1,34298,34378,0.074,3.500,287.583,586.058,0,0.272,0.272,None
(ID34378 : ID34402),1,34378,34402,0.010,4.500,287.701,586.193,0,0.100,0.100,None
(ID34402 : ID34429),1,34402,34429,0.239,5.500,287.610,586.462,0,0.489,0.489,None
(ID34429 : ID34455),1,34429,34455,0.259,6.500,287.252,586.670,0,0.509,0.509,None
(ID34455 : ID34483),1,34455,34483,0.144,7.500,287.080,586.486,0,0.379,0.379,None
(ID34483 : ID34509),1,34483,34509,0.088,8.500,287.096,586.448,0,0.297,0.297,None
(ID34509 : ID34537),1,34509,34537,0.074,9.500,286.944,586.474,0,0.273,0.273,None
(ID34537 : ID34566),1,34537,34566,0.081,10.500,286.841,586.508,0,0.284,0.284,None
(ID34566 : ID34595),1,34566,34595,3.738,11.500,286.378,585.792,0,1.933,1.933,None
(ID34595 : ID34621),1,34595,34621,226.622,12.500,282.502,578.234,0,15.054,15.054,None
(ID34621 : ID34676),1,34621,34676,2.696,13.500,278.659,572.242,0,1.642,1.642,None
(ID34676 : ID34650),1,34676,34650,1.318,14.500,278.318,572.382,0,1.148,1.148,None
(ID34650 : ID34700),1,34650,34700,8.742,15.500,279.476,572.818,0,2.957,2.957,None
(ID34700 : ID34753),1,34700,34753,15.924,16.500,281.233,575.702,0,3.990,3.990,None
(ID34753 : ID34779),1,34753,34779,45.971,17.500,283.322,580.660,0,6.780,6.780,None
(ID34779 : ID34728),1,34779,34728,43.262,18.500,285.732,586.875,0,6.577,6.577,None
(ID34728 : ID34807),1,34728,34807,75.959,19.500,288.116,594.140,0,8.715,8.715,None
(ID34807 : ID34833),1,34807,34833,58.886,20.500,290.904,601.844,0,7.674,7.674,None
(ID34833 : ID34859),1,34833,34859,119.108,21.500,293.677,610.697,0,10.914,10.914,None
(ID34859 : ID34884),1,34859,34884,53.860,22.500,295.215,619.644,0,7.339,7.339,None
(ID34884 : ID34911),1,34884,34911,65.099,23.500,296.364,627.222,0,8.068,8.068,None
(ID34911 : ID34939),1,34911,34939,0.404,24.500,297.116,631.350,0,0.635,0.635,None
(ID34939 : ID34965),1,34939,34965,105.275,25.500,297.628,636.641,0,10.260,10.260,None
(ID34965 : ID34990),1,34965,34990,23.589,26.500,299.864,643.634,0,4.857,4.857,None
(ID34990 : ID35017),1,34990,35017,32.775,27.500,302.353,648.233,0,5.725,5.725,None
(ID35017 : ID35072),1,35017,35072,15.838,28.500,304.216,652.708,0,3.980,3.980,None
(ID35072 : ID35047),1,35072,35047,114.803,29.500,306.265,659.725,0,10.715,10.715,None
(ID35047 : ID35101),1,35047,35101,0.423,30.500,307.775,664.950,0,0.650,0.650,None
(ID35101 : ID35130),1,35101,35130,0.422,31.500,308.425,664.950,0,0.650,0.650,None
(ID35130 : ID35184),1,35130,35184,0.423,32.500,309.075,664.950,0,0.650,0.650,None
(ID34274 : ID34325),2,34274,34325,75.472,0.500,512.922,651.200,0,8.687,8.687,None
(ID34325 : ID34352),2,34325,34352,10.023,1.500,509.592,646.597,0,3.166,3.166,None
(ID34352 : ID34300),2,34352,34300,183.730,2.500,505.623,639.381,0,13.555,13.555,None
(ID34300 : ID34379),2,34300,34379,16.817,3.500,503.193,635.306,0,4.101,4.101,None
(ID34379 : ID34403),2,34379,34403,0.185,4.500,504.402,636.691,0,0.431,0.431,None
(ID34403 : ID34430),2,34403,34430,95.197,5.500,501.441,632.548,0,9.757,9.757,None
(ID34430 : ID34457),2,34430,34457,72.150,6.500,495.803,625.384,0,8.494,8.494,None
(ID34457 : ID34484),2,34457,34484,8.388,7.500,494.354,622.743,0,2.896,2.896,None
(ID34484 : ID34510),2,34484,34510,128.661,8.500,498.988,627.922,0,11.343,11.343,None
(ID34510 : ID34538),2,34510,34538,41.299,9.500,504.009,635.248,0,6.426,6.426,None
(ID34538 : ID34567),2,34538,34567,281.604,10.500,500.384,631.494,0,16.781,16.781,None
(ID34567 : ID34596),2,34567,34596,229.275,11.500,490.048,619.333,0,15.142,15.142,None
(ID34596 : ID34622),2,34596,34622,6.389,12.500,486.278,613.316,0,2.528,2.528,None
(ID34622 : ID34677),2,34622,34677,259.907,13.500,493.290,618.598,0,16.122,16.122,None
(ID34677 : ID34651),2,34677,34651,12.445,14.500,500.170,625.592,0,3.528,3.528,None
(ID34651 : ID34702),2,34651,34702,19.395,15.500,500.598,624.879,0,4.404,4.404,None
(ID34702 : ID34755),2,34702,34755,96.687,16.500,497.082,618.776,0,9.833,9.833,None
(ID34755 : ID34781),2,34755,34781,2.269,17.500,493.731,615.338,0,1.506,1.506,None
(ID34781 : ID34730),2,34781,34730,5.732,18.500,494.404,616.157,0,2.394,2.394,None
