Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID21735,21735,1,3.218,550.050,42.966,0,0,0,7,1,-10921639,234.639,241,154,255,96906,22.851,15.486,0.280,4.491
ID21693,21693,1,3.313,542.752,53.712,0,1,1,7,1,-10921639,242.925,255,175,255,100328,17.644,15.680,0.298,6.320
ID21758,21758,1,3.645,540.466,58.973,0,2,2,7,1,-10921639,232.400,245,130,255,95981,28.785,15.586,0.344,4.132
ID21715,21715,1,3.629,538.373,63.289,0,3,3,7,1,-10921639,225.906,236,130,255,93299,31.250,11.297,0.335,3.631
ID21834,21834,1,3.488,536.390,63.896,0,4,4,7,1,-10921639,212.930,218,107,255,87940,36.836,11.268,0.324,2.830
ID21785,21785,1,3.142,538.723,79.136,0,6,6,7,1,-10921639,184.315,190,51,255,76122,51.528,11.169,0.317,1.720
ID21809,21809,1,3.580,539.339,78.812,0,7,7,7,1,-10921639,202.697,209,79,255,83714,44.935,11.242,0.355,2.364
ID21908,21908,1,3.894,540.359,79.089,0,8,8,7,1,-10921639,213.077,221,56,255,88001,41.055,11.307,0.397,2.952
ID21883,21883,1,3.937,540.643,79.399,0,9,9,7,1,-10921639,222.833,231,78,255,92030,36.024,11.324,0.390,3.470
ID21931,21931,1,3.656,542.862,78.569,0,10,10,7,1,-10921639,232.530,243,92,255,96035,30.289,18.592,0.344,3.928
ID21958,21958,1,3.930,542.137,79.353,0,11,11,7,1,-10921639,231.949,249,83,255,95795,34.689,11.388,0.384,3.713
ID22011,22011,1,3.887,541.471,82.507,0,12,12,7,1,-10921639,240.138,255,124,255,99177,25.131,15.530,0.381,5.269
ID21984,21984,1,3.866,542.246,82.460,0,13,13,7,1,-10921639,232.780,251,132,255,96138,30.300,15.470,0.378,4.217
ID22035,22035,1,3.587,543.141,84.580,0,14,14,7,1,-10921639,232.075,244,148,255,95847,27.148,18.238,0.344,4.376
ID22058,22058,1,3.202,545.609,87.874,0,15,15,7,1,-10921639,230.935,233,170,255,95376,21.858,22.187,0.283,4.665
ID22080,22080,1,3.175,545.103,87.022,0,16,16,7,1,-10921639,228.906,231,170,255,94538,21.622,25.318,0.281,4.650
ID22121,22121,1,3.275,544.827,87.067,0,17,17,7,1,-10921639,220.918,224,149,255,91239,23.579,19.131,0.310,4.435
ID22101,22101,1,3.420,543.751,89.219,0,18,18,7,1,-10921639,228.540,234,141,255,94387,25.333,19.356,0.312,4.293
ID22142,22142,1,3.496,543.176,86.065,0,19,19,7,1,-10921639,227.024,235,144,255,93761,27.806,19.087,0.325,4.006
ID22184,22184,1,3.189,543.313,88.426,0,20,20,7,1,-10921639,223.245,224,162,255,92200,22.190,22.173,0.289,4.513
ID22164,22164,1,3.436,539.539,89.970,0,21,21,7,1,-10921639,226.116,232,139,255,93386,26.480,18.227,0.318,4.122
ID22207,22207,1,3.478,536.489,89.529,0,22,22,7,1,-10921639,208.368,212,80,255,86056,35.409,11.288,0.334,2.949
ID22229,22229,1,3.286,531.224,94.797,0,23,23,7,1,-10921639,218.758,221,110,255,90347,29.665,15.594,0.300,3.401
ID22253,22253,1,3.297,528.753,98.318,0,24,24,7,1,-10921639,223.736,227,132,255,92403,27.126,18.487,0.298,3.790
ID22276,22276,1,3.162,526.761,99.712,0,25,25,7,1,-10921639,218.956,220,138,255,90429,24.761,19.235,0.289,3.962
ID22299,22299,1,3.268,524.630,102.760,0,26,26,7,1,-10921639,222.448,223,168,255,91871,23.617,19.061,0.298,4.330
ID22325,22325,1,3.097,524.651,103.246,0,27,27,7,1,-10921639,215.993,217,159,255,89205,24.355,18.869,0.281,3.891
ID22369,22369,1,3.056,523.098,104.574,0,28,28,7,1,-10921639,222.099,221,172,255,91727,22.222,18.964,0.270,4.256
ID22348,22348,1,3.111,520.545,104.346,0,29,29,7,1,-10921639,228.128,231,174,255,94217,21.409,18.753,0.273,4.576
