Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_2,97,0,0,0,0,0,96,0,96,37.736,2,2,251.579,54.171,0,1.940,10.264,0.019,1.085,2.299,4.008,4.322,3.486,4.037,0.144
Track_4,44,1,2,0,0,0,45,0,45,16.583,4,4,413.988,87.194,0,1.799,6.319,0.492,1.422,1.295,4.865,5.166,4.345,5.032,0.273
Track_5,46,0,0,0,0,0,45,0,45,46.867,5,5,408.686,113.574,0,2.718,11.182,0.218,1.990,2.261,5.077,5.792,3.878,5.127,0.372
Track_8,97,0,0,0,0,0,96,0,96,19.077,8,8,382.862,138.884,0,1.354,19.633,0.161,1.076,2.011,4.287,4.745,3.216,4.283,0.228
Track_9,87,0,0,0,0,0,86,0,86,23.263,9,9,359.724,140.990,0,1.210,9.684,0.130,0.902,1.322,4.515,4.902,3.132,4.501,0.263
Track_13,97,0,0,0,0,0,96,0,96,43.255,13,13,65.200,263.606,0,2.868,9.582,0.325,2.814,1.559,5.004,5.449,4.524,5.019,0.201
Track_18,66,0,0,0,0,0,65,0,65,160.196,18,18,232.752,524.441,0,6.043,14.314,1.676,5.397,3.016,3.926,4.371,3.155,3.921,0.218
Track_20,18,2,4,0,0,0,22,0,22,17.495,20,20,418.367,537.347,0,7.306,24.612,0.679,5.371,6.530,3.431,3.822,3.072,3.325,0.250
Track_27,23,2,1,0,0,0,24,8,32,20.314,27,27,348.517,176.637,0,3.580,8.596,0.515,3.137,2.606,3.421,3.760,3.083,3.416,0.175
Track_37,71,1,2,0,0,0,72,24,96,213.253,37,37,107.094,389.542,0,4.074,12.265,0.179,4.504,2.517,3.626,4.950,3.040,3.647,0.364
Track_47,37,1,2,0,0,0,38,42,80,22.845,47,47,414.457,141.200,0,4.714,13.236,0.308,4.141,3.218,3.805,4.514,3.287,3.766,0.334
Track_53,48,1,2,0,0,0,49,47,96,41.065,53,53,333.852,362.364,0,4.650,12.514,0.936,3.983,3.180,4.078,4.700,3.400,4.116,0.273
Track_54,30,0,0,0,0,0,29,49,78,21.093,54,54,289.008,345.051,0,4.135,12.293,0.243,3.532,2.843,4.435,4.834,3.741,4.436,0.218
