Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID75520 : ID75537),0,75520,75537,14.792,0.500,512.513,554.265,0,3.846,3.846,None
(ID75537 : ID75501),0,75537,75501,1.911,1.500,512.184,556.857,0,1.382,1.382,None
(ID75501 : ID75479),0,75501,75479,36.345,2.500,509.153,556.749,0,6.029,6.029,None
(ID75479 : ID75560),0,75479,75560,6.255,3.500,506.016,557.191,0,2.501,2.501,None
(ID75560 : ID75602),0,75560,75602,37.184,4.500,507.333,555.792,0,6.098,6.098,None
(ID75602 : ID75581),0,75602,75581,39.815,5.500,510.694,550.583,0,6.310,6.310,None
(ID75581 : ID75623),0,75581,75623,83.977,6.500,514.821,544.047,0,9.164,9.164,None
(ID75623 : ID75644),0,75623,75644,32.314,7.500,515.036,538.170,0,5.685,5.685,None
(ID75644 : ID75665),0,75644,75665,73.545,8.500,509.647,533.504,0,8.576,8.576,None
(ID75665 : ID75684),0,75665,75684,28.059,9.500,506.478,528.112,0,5.297,5.297,None
(ID75684 : ID75704),0,75684,75704,44.296,10.500,508.927,523.085,0,6.656,6.656,None
(ID75704 : ID75725),0,75704,75725,51.781,11.500,507.796,519.703,0,7.196,7.196,None
(ID75725 : ID75746),0,75725,75746,262.928,12.500,502.185,510.885,0,16.215,16.215,None
(ID75746 : ID75765),0,75746,75765,59.118,13.500,500.253,499.231,0,7.689,7.689,None
(ID75765 : ID75786),0,75765,75786,41.968,14.500,498.517,492.813,0,6.478,6.478,None
(ID75786 : ID75808),0,75786,75808,44.777,15.500,497.969,487.200,0,6.692,6.692,None
(ID75808 : ID75831),0,75808,75831,97.258,16.500,500.902,479.476,0,9.862,9.862,None
(ID75831 : ID75850),0,75831,75850,47.249,17.500,503.065,471.409,0,6.874,6.874,None
(ID75850 : ID75873),0,75850,75873,16.617,18.500,505.647,467.409,0,4.076,4.076,None
(ID75873 : ID75894),0,75873,75894,108.506,19.500,510.477,462.453,0,10.417,10.417,None
(ID75894 : ID75917),0,75894,75917,398.191,20.500,515.218,448.316,0,19.955,19.955,None
(ID75917 : ID75960),0,75917,75960,3.842,21.500,517.703,437.764,0,1.960,1.960,None
(ID75960 : ID75938),0,75960,75938,439.807,22.500,517.081,447.426,0,20.972,20.972,None
(ID75938 : ID75984),0,75938,75984,66.635,23.500,511.842,456.950,0,8.163,8.163,None
(ID75984 : ID76003),0,75984,76003,1.978,24.500,507.188,455.849,0,1.406,1.406,None
(ID76003 : ID76024),0,76003,76024,10.995,25.500,506.817,454.004,0,3.316,3.316,None
(ID76024 : ID76043),0,76024,76043,18.646,26.500,505.858,454.128,0,4.318,4.318,None
(ID76043 : ID76063),0,76043,76063,11.166,27.500,503.920,454.357,0,3.342,3.342,None
(ID76063 : ID76103),0,76063,76103,54.081,28.500,499.564,452.766,0,7.354,7.354,None
(ID76103 : ID76124),0,76103,76124,39.912,29.500,495.574,449.557,0,6.318,6.318,None
(ID76124 : ID76082),0,76124,76082,0.082,30.500,495.178,446.297,0,0.287,0.287,None
(ID76082 : ID76144),0,76082,76144,27.522,31.500,493.818,448.472,0,5.246,5.246,None
(ID76144 : ID76161),0,76144,76161,4.680,32.500,491.480,450.972,0,2.163,2.163,None
(ID76161 : ID76182),0,76161,76182,20.611,33.500,489.168,453.075,0,4.540,4.540,None
(ID76182 : ID76203),0,76182,76203,11.651,34.500,486.732,453.742,0,3.413,3.413,None
(ID76203 : ID76224),0,76203,76224,35.677,35.500,482.619,453.106,0,5.973,5.973,None
(ID76224 : ID76243),0,76224,76243,87.201,36.500,478.685,458.256,0,9.338,9.338,None
(ID76243 : ID76262),0,76243,76262,209.694,37.500,480.105,455.994,0,14.481,14.481,None
(ID76262 : ID76282),0,76262,76282,24.405,38.500,484.114,447.276,0,4.940,4.940,None
(ID76282 : ID76321),0,76282,76321,67.995,39.500,488.476,442.333,0,8.246,8.246,None
(ID76321 : ID76302),0,76321,76302,18.446,40.500,489.687,440.755,0,4.295,4.295,None
(ID76302 : ID76339),0,76302,76339,20.697,41.500,487.303,444.346,0,4.549,4.549,None
(ID76339 : ID76360),0,76339,76360,76.168,42.500,489.991,449.071,0,8.727,8.727,None
(ID76360 : ID76401),0,76360,76401,2.605,43.500,492.746,451.975,0,1.614,1.614,None
(ID76401 : ID76382),0,76401,76382,5.738,44.500,493.145,452.621,0,2.395,2.395,None
(ID76382 : ID76421),0,76382,76421,3.157,45.500,493.467,452.637,0,1.777,1.777,None
(ID76421 : ID76441),0,76421,76441,103.504,46.500,494.571,447.604,0,10.174,10.174,None
(ID76441 : ID76462),0,76441,76462,156.594,47.500,498.338,448.879,0,12.514,12.514,None
(ID76462 : ID76485),0,76462,76485,11.859,48.500,499.140,456.238,0,3.444,3.444,None
(ID76485 : ID76506),0,76485,76506,38.434,49.500,495.118,456.796,0,6.200,6.200,None
(ID75510 : ID75527),6,75510,75527,23.866,0.500,265.359,186.216,0,4.885,4.885,None
(ID75527 : ID75486),6,75527,75486,124.917,1.500,260.569,182.859,0,11.177,11.177,None
(ID75486 : ID75465),6,75486,75465,47.223,2.500,256.138,181.082,0,6.872,6.872,None
(ID75465 : ID75544),6,75465,75544,92.294,3.500,255.522,188.825,0,9.607,9.607,None
(ID75544 : ID75588),6,75544,75588,0.923,4.500,256.405,193.996,0,0.961,0.961,None
(ID75588 : ID75568),6,75588,75568,8.819,5.500,256.824,195.856,0,2.970,2.970,None
(ID75568 : ID75610),6,75568,75610,121.283,6.500,251.841,197.404,0,11.013,11.013,None
(ID75610 : ID75632),6,75610,75632,129.167,7.500,248.298,202.895,0,11.365,11.365,None
(ID75632 : ID75654),6,75632,75654,15.091,8.500,248.704,207.064,0,3.885,3.885,None
(ID75654 : ID75673),6,75654,75673,114.239,9.500,242.852,209.078,0,10.688,10.688,None
(ID75673 : ID75692),6,75673,75692,26.585,10.500,237.365,214.542,0,5.156,5.156,None
(ID75692 : ID75714),6,75692,75714,110.556,11.500,237.796,221.830,0,10.515,10.515,None
(ID75714 : ID75735),6,75714,75735,19.824,12.500,239.337,229.056,0,4.452,4.452,None
(ID75735 : ID75754),6,75735,75754,208.136,13.500,236.185,224.754,0,14.427,14.427,None
(ID75754 : ID75774),6,75754,75774,53.503,14.500,236.384,219.863,0,7.315,7.315,None
(ID75774 : ID75794),6,75774,75794,106.236,15.500,244.808,221.577,0,10.307,10.307,None
(ID75794 : ID75816),6,75794,75816,53.518,16.500,246.653,220.094,0,7.316,7.316,None
(ID75816 : ID75838),6,75816,75838,85.293,17.500,244.765,214.139,0,9.235,9.235,None
(ID75838 : ID75857),6,75838,75857,40.640,18.500,246.606,212.904,0,6.375,6.375,None
(ID75857 : ID75882),6,75857,75882,9.644,19.500,247.512,214.588,0,3.105,3.105,None
(ID75882 : ID75906),6,75882,75906,87.337,20.500,252.138,210.951,0,9.345,9.345,None
(ID75906 : ID75948),6,75906,75948,87.502,21.500,260.303,206.401,0,9.354,9.354,None
(ID75948 : ID75926),6,75948,75926,84.025,22.500,261.706,200.252,0,9.167,9.167,None
(ID75926 : ID75972),6,75926,75972,59.747,23.500,262.766,197.674,0,7.730,7.730,None
(ID75972 : ID75992),6,75972,75992,75.142,24.500,265.857,194.563,0,8.668,8.668,None
(ID75992 : ID76013),6,75992,76013,93.932,25.500,261.742,186.946,0,9.692,9.692,None
(ID76013 : ID76033),6,76013,76033,14.847,26.500,256.685,182.453,0,3.853,3.853,None
(ID76033 : ID76051),6,76033,76051,42.029,27.500,251.948,180.811,0,6.483,6.483,None
(ID76051 : ID76094),6,76051,76094,31.962,28.500,245.915,180.266,0,5.653,5.653,None
(ID76094 : ID76115),6,76094,76115,74.295,29.500,247.390,180.471,0,8.619,8.619,None
(ID76115 : ID76073),6,76115,76073,27.044,30.500,250.053,178.732,0,5.200,5.200,None
(ID76073 : ID76135),6,76073,76135,49.838,31.500,245.367,174.933,0,7.060,7.060,None
(ID76135 : ID76154),6,76135,76154,23.831,32.500,239.904,173.518,0,4.882,4.882,None
(ID76154 : ID76173),6,76154,76173,5.865,33.500,237.512,172.670,0,2.422,2.422,None
(ID76173 : ID76193),6,76173,76193,33.704,34.500,239.139,173.878,0,5.806,5.806,None
(ID76193 : ID76214),6,76193,76214,24.624,35.500,240.335,173.849,0,4.962,4.962,None
(ID76214 : ID76232),6,76214,76232,48.755,36.500,243.368,170.824,0,6.983,6.983,None
(ID76232 : ID76253),6,76232,76253,157.426,37.500,244.825,176.196,0,12.547,12.547,None
(ID76253 : ID76275),6,76253,76275,8.992,38.500,244.235,182.694,0,2.999,2.999,None
(ID76275 : ID76314),6,76275,76314,9.905,39.500,247.133,183.710,0,3.147,3.147,None
(ID76314 : ID76294),6,76314,76294,15.870,40.500,246.648,184.036,0,3.984,3.984,None
(ID76294 : ID76332),6,76294,76332,1.131,41.500,245.003,183.485,0,1.064,1.064,None
(ID76332 : ID76352),6,76332,76352,18.036,42.500,246.690,184.721,0,4.247,4.247,None
(ID76352 : ID76394),6,76352,76394,0.029,43.500,248.051,186.448,0,0.172,0.172,None
(ID76394 : ID76374),6,76394,76374,17.238,44.500,250.141,186.622,0,4.152,4.152,None
(ID76374 : ID76414),6,76374,76414,39.077,45.500,254.416,188.930,0,6.251,6.251,None
(ID76414 : ID76434),6,76414,76434,112.078,46.500,254.651,186.235,0,10.587,10.587,None
(ID76434 : ID76454),6,76434,76454,5.244,47.500,252.358,180.223,0,2.290,2.290,None
(ID76454 : ID76475),6,76454,76475,32.556,48.500,253.810,176.895,0,5.706,5.706,None
(ID76475 : ID76495),6,76475,76495,130.142,49.500,259.119,179.145,0,11.408,11.408,None
(ID76495 : ID76515),6,76495,76515,39.961,50.500,263.838,186.554,0,6.321,6.321,None
(ID76515 : ID76537),6,76515,76537,22.262,51.500,266.165,191.549,0,4.718,4.718,None
(ID76537 : ID76557),6,76537,76557,8.864,52.500,268.452,194.562,0,2.977,2.977,None
(ID76557 : ID76575),6,76557,76575,18.046,53.500,271.706,195.793,0,4.248,4.248,None
(ID76575 : ID76598),6,76575,76598,65.230,54.500,277.833,196.437,0,8.076,8.076,None
(ID76598 : ID76617),6,76598,76617,15.611,55.500,282.097,198.756,0,3.951,3.951,None
