Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID68097,68097,0,4.821,446.792,262.311,0,0,0,7,1,-10921639,255.000,255,255,255,105315,0.000,16.227,0.538,Infinity
ID68028,68028,0,5.105,444.463,262.161,0,1,1,7,1,-10921639,254.835,255,219,255,105247,2.073,15.964,0.592,91.401
ID68074,68074,0,5.168,445.493,264.265,0,2,2,7,1,-10921639,253.475,255,118,255,104685,11.862,15.905,0.603,16.081
ID68050,68050,0,5.255,443.386,264.746,0,3,3,7,1,-10921639,253.174,255,141,255,104561,10.767,15.440,0.622,18.036
ID68145,68145,0,5.325,443.142,265.367,0,4,4,7,1,-10921639,244.148,255,19,255,100833,37.259,14.945,0.639,5.111
ID68122,68122,0,5.106,444.418,265.188,0,5,5,7,1,-10921639,245.249,255,37,255,101288,33.695,15.034,0.596,5.438
ID68190,68190,0,5.284,444.016,262.967,0,6,6,7,1,-10921639,252.625,255,115,255,104334,13.799,15.518,0.627,14.110
ID68167,68167,0,5.466,441.313,263.974,0,7,7,7,1,-10921639,246.044,255,80,255,101616,30.409,15.004,0.673,6.512
ID68211,68211,0,5.394,439.479,262.341,0,8,8,7,1,-10921639,238.843,255,11,255,98642,47.179,14.772,0.662,4.033
ID68278,68278,0,5.463,438.021,259.840,0,9,9,7,1,-10921639,241.116,255,46,255,99581,41.792,14.814,0.674,4.644
ID68234,68234,0,6.078,432.111,257.347,0,10,10,7,1,-10921639,254.339,255,202,255,105042,4.503,15.240,0.796,50.062
ID68256,68256,0,5.942,432.720,259.619,0,11,11,7,1,-10921639,254.446,255,181,255,105086,5.531,15.450,0.760,39.734
ID68301,68301,0,5.942,439.272,260.847,0,12,12,7,1,-10921639,253.627,255,171,255,104748,8.707,15.409,0.763,25.204
ID68323,68323,0,6.050,443.617,255.421,0,13,13,7,1,-10921639,253.763,255,186,255,104804,7.053,15.257,0.791,31.770
ID68347,68347,0,6.102,436.883,255.314,0,14,14,7,1,-10921639,252.809,255,152,255,104410,11.350,15.168,0.806,19.875
ID68371,68371,0,5.957,433.381,252.507,0,15,15,7,1,-10921639,252.370,255,156,255,104229,12.190,15.261,0.772,18.037
ID68393,68393,0,6.172,435.301,254.163,0,16,16,7,1,-10921639,251.235,255,146,255,103760,14.818,14.991,0.831,15.386
ID68416,68416,0,6.119,435.680,257.127,0,17,17,7,1,-10921639,251.964,255,161,255,104061,12.938,15.114,0.812,17.455
ID68439,68439,0,6.017,433.060,255.214,0,18,18,7,1,-10921639,252.596,255,174,255,104322,10.539,15.211,0.786,21.104
ID68462,68462,0,6.058,434.841,254.152,0,19,19,7,1,-10921639,253.661,255,194,255,104762,6.535,15.204,0.794,34.349
ID68484,68484,0,6.167,436.457,256.179,0,20,20,7,1,-10921639,250.356,255,129,255,103397,18.116,15.001,0.828,12.517
ID68534,68534,0,6.110,434.900,255.570,0,21,21,7,1,-10921639,252.073,255,161,255,104106,11.562,15.104,0.809,19.497
ID68509,68509,0,6.115,435.654,254.867,0,22,22,7,1,-10921639,252.518,255,169,255,104290,11.217,15.128,0.811,20.167
ID68558,68558,0,6.053,434.673,255.762,0,23,23,7,1,-10921639,250.102,255,120,255,103292,19.366,15.058,0.800,11.481
ID68583,68583,0,6.020,436.066,258.149,0,24,24,7,1,-10921639,253.579,255,190,255,104728,6.922,15.241,0.785,32.216
ID68609,68609,0,6.117,437.038,258.418,0,25,25,7,1,-10921639,250.678,255,113,255,103530,18.451,14.960,0.818,12.226
ID68635,68635,0,6.130,437.668,258.904,0,26,26,7,1,-10921639,252.019,255,149,255,104084,13.506,15.116,0.815,16.760
ID68662,68662,0,5.976,437.232,259.078,0,27,27,7,1,-10921639,252.915,255,148,255,104454,11.683,15.264,0.775,18.907
ID68689,68689,0,6.106,438.414,259.234,0,28,28,7,1,-10921639,251.070,255,132,255,103692,16.793,15.057,0.816,13.433
ID68715,68715,0,6.052,436.625,259.241,0,29,29,7,1,-10921639,252.223,255,162,255,104168,11.825,15.085,0.801,18.977
ID68739,68739,0,6.077,438.148,258.641,0,30,30,7,1,-10921639,252.533,255,181,255,104296,9.860,15.104,0.806,22.861
ID68761,68761,0,6.182,436.918,258.787,0,31,31,7,1,-10921639,250.964,255,148,255,103648,15.093,14.964,0.838,15.158
ID68785,68785,0,6.037,436.828,258.446,0,32,32,7,1,-10921639,253.148,255,166,255,104550,9.563,15.178,0.793,23.415
ID68810,68810,0,6.185,437.031,259.673,0,33,33,7,1,-10921639,249.801,255,108,255,103168,20.702,14.988,0.834,10.972
ID68835,68835,0,6.160,437.423,259.177,0,34,34,7,1,-10921639,251.852,255,148,255,104015,13.608,15.011,0.828,16.768
ID68861,68861,0,6.085,436.461,259.368,0,35,35,7,1,-10921639,252.077,255,142,255,104108,13.465,15.155,0.804,16.691
ID68888,68888,0,6.030,436.826,259.804,0,36,36,7,1,-10921639,253.893,255,197,255,104858,6.345,15.228,0.789,35.306
ID68911,68911,0,6.164,437.365,259.640,0,37,37,7,1,-10921639,250.005,255,147,255,103252,17.352,14.908,0.833,13.097
ID68936,68936,0,6.052,436.186,258.561,0,38,38,7,1,-10921639,252.167,255,163,255,104145,11.776,15.129,0.799,19.022
ID68964,68964,0,6.141,437.120,257.819,0,39,39,7,1,-10921639,249.172,255,121,255,102908,21.220,14.940,0.827,10.628
ID68991,68991,0,6.111,435.694,258.239,0,40,40,7,1,-10921639,250.877,255,128,255,103612,16.829,15.078,0.813,13.367
ID69020,69020,0,6.101,435.981,259.013,0,41,41,7,1,-10921639,250.370,255,145,255,103403,16.906,15.009,0.815,13.297
ID69073,69073,0,6.169,436.801,258.143,0,42,42,7,1,-10921639,250.668,255,156,255,103526,15.191,14.950,0.834,15.004
ID69048,69048,0,6.118,438.314,257.631,0,43,43,7,1,-10921639,250.801,255,138,255,103581,16.333,15.056,0.817,13.813
ID69100,69100,0,6.043,437.976,260.018,0,44,44,7,1,-10921639,251.927,255,156,255,104046,12.279,15.103,0.798,18.210
ID69127,69127,0,6.141,437.378,259.480,0,45,45,7,1,-10921639,251.169,255,157,255,103733,14.721,14.975,0.827,15.443
ID69151,69151,0,6.056,438.207,259.818,0,46,46,7,1,-10921639,252.835,255,172,255,104421,9.717,15.156,0.799,23.121
ID69176,69176,0,6.041,436.886,259.639,0,47,47,7,1,-10921639,252.252,255,155,255,104180,12.179,15.162,0.796,18.361
ID69199,69199,0,6.047,437.724,259.266,0,48,48,7,1,-10921639,252.022,255,164,255,104085,12.644,15.138,0.799,17.700
ID69226,69226,0,5.975,437.303,258.013,0,49,49,7,1,-10921639,253.269,255,172,255,104600,8.533,15.241,0.778,25.978
ID69254,69254,0,6.070,436.855,260.196,0,50,50,7,1,-10921639,252.082,255,158,255,104110,12.409,15.094,0.806,18.131
ID69280,69280,0,6.031,436.079,258.626,0,51,51,7,1,-10921639,253.835,255,194,255,104834,6.164,15.196,0.793,36.424
ID69307,69307,0,5.986,435.821,259.432,0,52,52,7,1,-10921639,252.516,255,147,255,104289,12.022,15.223,0.779,18.399
ID69332,69332,0,6.007,436.579,259.988,0,53,53,7,1,-10921639,253.046,255,175,255,104508,9.268,15.167,0.787,24.051
ID69358,69358,0,6.062,436.076,259.263,0,54,54,7,1,-10921639,252.676,255,174,255,104355,9.727,15.119,0.803,23.135
ID69385,69385,0,5.936,435.995,258.856,0,55,55,7,1,-10921639,253.799,255,180,255,104819,7.283,15.285,0.767,30.261
ID69412,69412,0,6.067,436.830,259.313,0,56,56,7,1,-10921639,253.370,255,190,255,104642,8.036,15.180,0.799,28.007
ID69438,69438,0,5.992,436.711,259.485,0,57,57,7,1,-10921639,254.247,255,204,255,105004,4.606,15.283,0.777,48.257
ID69463,69463,0,6.043,436.862,259.525,0,58,58,7,1,-10921639,253.182,255,168,255,104564,9.232,15.210,0.793,24.262
ID69491,69491,0,6.067,436.444,260.770,0,59,59,7,1,-10921639,252.472,255,130,255,104271,12.990,15.177,0.800,17.280
ID69516,69516,0,5.997,436.492,260.558,0,60,60,7,1,-10921639,251.755,255,139,255,103975,13.454,15.166,0.786,16.467
ID69539,69539,0,6.015,435.739,260.553,0,61,61,7,1,-10921639,251.806,255,132,255,103996,15.184,15.183,0.789,14.623
ID69585,69585,0,6.064,436.158,260.954,0,62,62,7,1,-10921639,251.956,255,134,255,104058,13.498,15.128,0.803,16.622
ID69562,69562,0,5.910,438.007,261.122,0,63,63,7,1,-10921639,252.862,255,159,255,104432,10.537,15.276,0.764,20.783
ID69610,69610,0,6.011,435.222,261.340,0,64,64,7,1,-10921639,253.099,255,192,255,104530,8.712,15.200,0.788,25.597
ID69633,69633,0,6.011,435.399,260.233,0,65,65,7,1,-10921639,252.654,255,179,255,104346,10.235,15.192,0.787,21.740
ID69682,69682,0,5.972,435.821,261.299,0,66,66,7,1,-10921639,252.322,255,148,255,104209,12.592,15.239,0.776,17.513
ID69659,69659,0,6.011,437.873,263.172,0,67,67,7,1,-10921639,252.816,255,151,255,104413,10.947,15.186,0.789,20.376
ID69706,69706,0,5.908,435.700,260.479,0,68,68,7,1,-10921639,252.705,255,164,255,104367,10.538,15.214,0.766,20.804
ID69732,69732,0,5.799,437.014,263.086,0,69,69,7,1,-10921639,253.332,255,183,255,104626,8.308,15.324,0.738,25.904
