Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_2,55,2,4,0,0,0,59,0,59,31.066,2,2,244.010,386.777,0,4.509,16.960,0.351,3.225,3.894,3.984,4.999,3.022,3.987,0.581
Track_3,70,2,1,0,0,0,71,0,71,31.952,3,3,289.705,369.442,0,7.259,22.692,1.492,6.101,4.442,4.656,5.814,3.275,4.794,0.762
Track_6,26,0,0,0,0,0,25,0,25,41.232,6,6,571.081,447.111,0,8.427,19.462,1.462,8.429,4.959,4.862,5.445,4.290,4.850,0.304
Track_8,70,0,0,0,0,0,69,0,69,24.215,8,8,492.720,484.289,0,9.582,23.270,2.293,9.175,4.686,4.511,4.912,3.143,4.594,0.297
Track_29,25,2,3,0,0,0,30,4,34,20.899,29,29,259.160,390.422,0,6.422,19.349,1.750,4.747,5.056,3.843,5.351,3.020,3.754,0.615
Track_30,54,0,0,0,0,0,53,5,58,109.608,30,30,188.854,587.631,0,7.148,21.601,1.004,5.622,4.755,5.166,5.443,4.345,5.257,0.258
Track_34,62,0,0,0,0,0,61,7,68,89.201,34,34,444.454,410.519,0,8.569,24.770,0.381,6.964,5.326,4.879,5.518,3.230,5.160,0.535
Track_53,28,1,1,0,0,0,28,15,43,24.607,53,53,397.975,468.423,0,10.771,23.794,2.030,9.919,5.766,4.507,5.221,3.316,4.613,0.479
Track_58,78,3,1,0,0,0,80,16,96,31.629,58,58,266.166,381.974,0,4.843,20.427,0.850,3.448,4.125,3.810,4.989,3.021,3.900,0.353
Track_63,75,0,0,0,0,0,74,22,96,56.322,63,63,313.144,492.662,0,5.583,17.274,0.366,4.153,4.692,5.101,5.514,4.469,5.128,0.227
Track_70,72,0,0,0,0,0,71,25,96,18.588,70,70,538.372,461.207,0,5.325,20.397,0.476,4.784,3.430,5.051,5.763,3.356,5.076,0.493
Track_71,61,8,2,0,0,0,71,25,96,26.929,71,71,269.600,645.981,0,7.280,21.371,0.473,5.961,5.012,4.001,4.858,3.032,4.030,0.516
Track_76,61,0,0,0,0,0,60,29,89,35.341,76,76,260.157,397.283,0,4.649,14.089,0.751,4.257,2.914,4.094,4.659,3.026,4.192,0.405
Track_82,36,0,0,0,0,0,35,33,68,36.844,82,82,209.966,521.875,0,9.978,22.391,2.302,8.280,5.441,5.144,5.570,4.110,5.342,0.395
Track_91,22,0,0,0,0,0,21,38,59,57.926,91,91,117.374,323.907,0,9.761,19.607,2.254,8.142,5.238,5.586,5.969,4.967,5.744,0.350
Track_95,24,0,0,0,0,0,23,42,65,45.983,95,95,311.726,574.497,0,9.379,24.472,1.327,9.338,5.496,3.626,4.231,3.086,3.603,0.316
Track_114,26,2,3,0,0,0,29,66,95,83.410,114,114,289.919,597.667,0,10.330,19.026,1.831,9.999,4.242,3.932,5.281,3.012,3.945,0.590
Track_119,28,0,0,0,0,0,27,69,96,70.963,119,119,197.733,549.249,0,9.356,20.686,0.973,6.831,6.494,4.987,5.422,3.893,5.115,0.374
