Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID34915,34915,3,3.749,664.950,309.400,0,0,0,7,1,-10921639,178.237,222,0,255,73612,97.617,15.401,0.445,1.124
ID34938,34938,3,3.179,661.131,306.205,0,1,1,7,1,-10921639,219.356,228,105,255,90594,36.929,11.331,0.486,3.887
ID34962,34962,3,3.398,658.495,303.662,0,2,2,7,1,-10921639,217.223,230,67,255,89713,42.213,18.491,0.454,3.211
ID34987,34987,3,3.320,658.937,306.362,0,3,3,7,1,-10921639,222.392,238,108,255,91848,38.567,17.994,0.457,3.620
ID35011,35011,3,3.172,657.966,307.991,0,4,4,7,1,-10921639,219.475,230,89,255,90643,40.334,19.229,0.388,3.045
ID35035,35035,3,3.280,659.009,308.039,0,5,5,7,1,-10921639,229.431,242,124,255,94755,30.856,15.562,0.453,4.638
ID35057,35057,3,3.002,657.756,307.425,0,6,6,7,1,-10921639,209.801,211,116,255,86648,37.845,11.247,0.359,2.929
ID35079,35079,3,3.038,657.708,308.809,0,7,7,7,1,-10921639,206.310,208,122,255,85206,37.419,19.812,0.374,3.004
ID35101,35101,3,3.051,657.546,308.497,0,8,8,7,1,-10921639,206.494,209,115,255,85282,37.593,19.398,0.378,3.015
ID35124,35124,3,3.258,656.073,306.495,0,9,9,7,1,-10921639,211.332,213,123,255,87280,36.049,25.091,0.345,3.010
ID35145,35145,3,3.642,654.942,305.465,0,10,10,7,1,-10921639,212.402,218,119,255,87722,37.706,11.261,0.375,3.073
ID35165,35165,3,3.306,655.429,305.966,0,11,11,7,1,-10921639,206.751,210,122,255,85388,37.512,26.600,0.331,2.739
ID35210,35210,3,3.086,657.728,306.766,0,12,12,7,1,-10921639,205.378,207,116,255,84821,38.245,19.530,0.388,3.000
ID35187,35187,3,3.416,655.139,306.678,0,13,13,7,1,-10921639,206.116,212,106,255,85126,39.628,25.817,0.344,2.665
ID35233,35233,3,3.013,658.715,310.629,0,14,14,7,1,-10921639,207.847,206,118,255,85841,37.965,18.921,0.395,3.102
ID35279,35279,3,3.206,656.832,309.426,0,16,16,7,1,-10921639,199.600,201,93,255,82435,40.678,22.041,0.381,2.710
ID35304,35304,3,3.113,655.856,307.253,0,17,17,7,1,-10921639,192.523,193,105,255,79512,38.568,25.239,0.339,2.527
ID35353,35353,3,3.601,654.227,305.836,0,18,18,7,1,-10921639,203.978,209,80,255,84243,39.585,11.268,0.370,2.784
ID35329,35329,3,3.428,655.119,308.932,0,19,19,7,1,-10921639,202.908,205,114,255,83801,37.657,25.873,0.350,2.791
ID35378,35378,3,3.291,656.427,309.914,0,20,20,7,1,-10921639,201.898,199,122,255,83384,38.672,24.774,0.365,2.792
ID35404,35404,3,3.657,654.787,309.440,0,21,21,7,1,-10921639,210.407,209,131,255,86898,34.686,11.293,0.376,3.317
ID35429,35429,3,3.489,655.920,310.654,0,22,22,7,1,-10921639,209.436,211,125,255,86497,37.764,11.242,0.370,2.997
ID35453,35453,3,3.977,654.022,309.322,0,23,23,7,1,-10921639,223.954,240,108,255,92493,37.467,11.309,0.398,3.403
ID35477,35477,3,3.745,655.672,312.067,0,24,24,7,1,-10921639,213.847,217,100,255,88319,38.422,11.273,0.406,3.217
ID35501,35501,3,3.607,655.150,310.835,0,25,25,7,1,-10921639,215.937,216,112,255,89182,34.121,11.296,0.371,3.425
ID35527,35527,3,3.457,655.138,310.838,0,26,26,7,1,-10921639,198.782,197,104,255,82097,36.114,11.282,0.365,2.946
ID35549,35549,3,3.369,656.557,312.811,0,27,27,7,1,-10921639,198.421,198,106,255,81948,39.868,11.259,0.392,2.802
ID35592,35592,3,3.411,656.942,311.263,0,28,28,7,1,-10921639,204.663,204,111,255,84526,40.250,11.274,0.409,2.952
ID35572,35572,3,3.754,654.784,312.821,0,29,29,7,1,-10921639,209.843,214,112,255,86665,38.144,11.281,0.386,3.061
ID35615,35615,3,3.437,655.839,314.814,0,30,30,7,1,-10921639,203.785,201,125,255,84163,36.786,25.034,0.374,3.017
ID35640,35640,3,3.966,654.824,313.175,0,31,31,7,1,-10921639,212.554,216,106,255,87785,37.282,11.294,0.417,3.357
ID35694,35694,3,3.556,654.779,314.111,0,32,32,7,1,-10921639,199.131,200,113,255,82241,37.184,11.283,0.374,2.916
ID35667,35667,3,3.233,655.547,312.872,0,33,33,7,1,-10921639,196.373,200,95,255,81102,38.104,25.018,0.354,2.694
ID35718,35718,3,4.073,654.899,315.052,0,34,34,7,1,-10921639,224.772,237,124,255,92831,33.115,11.337,0.440,4.147
ID35742,35742,3,3.943,655.524,315.186,0,35,35,7,1,-10921639,220.109,232,116,255,90905,37.485,11.329,0.427,3.513
ID35767,35767,3,4.141,654.265,315.491,0,36,36,7,1,-10921639,225.625,239,101,255,93183,35.080,11.348,0.436,3.904
ID35792,35792,3,3.861,654.017,315.919,0,37,37,7,1,-10921639,217.254,220,133,255,89726,33.153,15.541,0.387,3.658
ID35816,35816,3,3.617,654.681,313.922,0,38,38,7,1,-10921639,211.877,212,123,255,87505,33.399,11.295,0.364,3.387
ID35841,35841,3,4.048,654.302,316.018,0,39,39,7,1,-10921639,220.295,226,107,255,90982,33.665,15.442,0.425,3.900
ID35891,35891,3,3.434,654.256,314.366,0,40,40,7,1,-10921639,207.639,203,139,255,85755,30.932,15.592,0.343,3.432
ID35867,35867,3,3.630,653.963,315.271,0,41,41,7,1,-10921639,212.455,214,127,255,87744,30.579,15.440,0.369,3.747
ID35916,35916,3,3.470,654.683,316.404,0,42,42,7,1,-10921639,210.666,213,129,255,87005,31.445,15.596,0.358,3.532
ID35942,35942,3,3.392,654.530,317.274,0,43,43,7,1,-10921639,201.368,201,128,255,83165,33.715,15.654,0.353,3.118
ID35969,35969,3,3.557,654.363,321.321,0,44,44,7,1,-10921639,208.632,208,125,255,86165,32.694,15.464,0.360,3.382
ID35991,35991,3,3.682,653.939,317.688,0,45,45,7,1,-10921639,213.107,212,136,255,88013,30.980,15.445,0.372,3.730
ID36037,36037,3,3.973,653.126,318.339,0,46,46,7,1,-10921639,221.002,226,128,255,91274,31.625,15.476,0.400,3.997
ID36015,36015,3,3.993,654.250,319.308,0,47,47,7,1,-10921639,216.107,223,103,255,89252,37.747,11.280,0.414,3.351
ID36063,36063,3,4.136,652.341,317.414,0,48,48,7,1,-10921639,223.869,236,95,255,92458,36.385,11.319,0.422,3.652
ID36090,36090,3,3.778,652.601,317.023,0,49,49,7,1,-10921639,217.913,223,125,255,89998,32.094,15.483,0.373,3.693
ID36139,36139,3,3.824,653.603,316.227,0,50,50,7,1,-10921639,209.923,210,122,255,86698,34.630,11.298,0.391,3.409
ID36115,36115,3,3.593,652.764,318.172,0,51,51,7,1,-10921639,201.666,199,121,255,83288,37.309,11.252,0.353,2.821
ID36192,36192,3,3.720,652.458,318.973,0,52,52,7,1,-10921639,216.404,217,132,255,89375,29.665,18.516,0.370,3.944
ID36166,36166,3,3.981,652.732,321.684,0,53,53,7,1,-10921639,217.409,220,126,255,89790,33.143,11.311,0.402,3.759
ID36219,36219,3,3.742,653.019,321.438,0,54,54,7,1,-10921639,207.755,209,109,255,85803,36.130,11.309,0.378,3.152
ID36245,36245,3,4.007,653.005,321.707,0,55,55,7,1,-10921639,212.651,217,122,255,87825,37.948,11.254,0.406,3.234
ID36270,36270,3,3.567,653.629,321.810,0,56,56,7,1,-10921639,208.291,212,124,255,86024,36.263,11.272,0.348,2.967
ID36296,36296,3,3.787,654.763,320.812,0,57,57,7,1,-10921639,206.852,209,109,255,85430,38.964,11.259,0.394,3.003
ID36320,36320,3,3.850,653.793,318.992,0,58,58,7,1,-10921639,205.262,205,117,255,84773,36.901,11.289,0.402,3.189
ID36345,36345,3,4.267,653.046,321.396,0,59,59,7,1,-10921639,217.947,230,112,255,90012,40.509,11.309,0.449,3.332
ID36366,36366,3,4.361,651.674,324.159,0,60,60,7,1,-10921639,226.419,250,105,255,93511,39.442,11.352,0.457,3.603
ID36390,36390,3,4.455,651.579,325.165,0,61,61,7,1,-10921639,227.828,246,126,255,94093,34.587,11.350,0.469,4.205
ID36437,36437,3,4.378,652.145,323.441,0,62,62,7,1,-10921639,224.741,238,116,255,92818,35.438,11.362,0.466,4.033
ID36414,36414,3,4.170,651.182,323.506,0,63,63,7,1,-10921639,217.811,223,130,255,89956,35.841,11.317,0.433,3.674
ID36460,36460,3,4.044,653.367,324.773,0,64,64,7,1,-10921639,209.465,216,103,255,86509,41.224,11.300,0.428,3.044
ID36485,36485,3,3.896,653.369,324.993,0,65,65,7,1,-10921639,211.588,217,99,255,87386,35.404,11.319,0.406,3.453
ID36510,36510,3,4.066,652.169,324.562,0,66,66,7,1,-10921639,218.787,229,122,255,90359,34.670,11.322,0.419,3.724
ID36532,36532,3,3.332,654.720,321.879,0,67,67,7,1,-10921639,196.109,204,62,246,80993,37.228,11.300,0.364,2.810
ID36555,36555,3,3.693,651.927,326.779,0,68,68,7,1,-10921639,202.337,205,107,255,83565,32.000,11.329,0.396,3.590
ID36578,36578,3,4.005,652.777,327.179,0,69,69,7,1,-10921639,216.538,224,98,255,89430,38.260,15.494,0.407,3.276
ID36601,36601,3,3.349,652.977,326.754,0,70,70,7,1,-10921639,195.131,199,102,252,80589,32.705,15.355,0.362,3.171
ID36625,36625,3,3.684,652.765,324.241,0,71,71,7,1,-10921639,204.479,210,91,255,84450,35.914,11.308,0.381,3.140
ID36650,36650,3,3.508,651.843,327.427,0,72,72,7,1,-10921639,206.586,212,111,255,85320,34.066,19.033,0.355,3.178
ID36673,36673,3,3.608,652.802,326.521,0,73,73,7,1,-10921639,204.642,213,75,255,84517,39.898,11.308,0.364,2.738
ID36720,36720,3,4.121,653.159,331.981,0,74,74,7,1,-10921639,214.942,221,121,255,88771,34.969,11.333,0.434,3.722
ID36698,36698,3,3.629,654.976,326.732,0,75,75,7,1,-10921639,208.564,216,100,255,86137,37.833,15.400,0.394,3.117
ID36745,36745,3,4.169,653.860,329.684,0,76,76,7,1,-10921639,211.111,225,66,255,87189,47.631,11.240,0.436,2.692
ID36770,36770,3,4.377,653.215,331.195,0,77,77,7,1,-10921639,222.337,253,77,255,91825,46.646,11.321,0.464,3.022
ID36793,36793,3,3.201,653.694,324.952,0,78,78,7,1,-10921639,196.976,203,70,249,81351,34.955,11.313,0.333,2.813
ID36816,36816,3,4.137,653.968,332.009,0,79,79,7,1,-10921639,213.344,232,32,255,88111,49.616,11.291,0.437,2.614
ID36864,36864,3,3.597,654.680,328.481,0,80,80,7,1,-10921639,207.291,219,59,255,85611,44.076,11.307,0.370,2.541
ID36841,36841,3,4.190,653.523,335.657,0,81,81,7,1,-10921639,223.070,239,99,255,92128,39.477,11.341,0.439,3.448
ID36889,36889,3,4.313,652.384,335.120,0,82,82,7,1,-10921639,221.567,250,90,255,91507,44.901,11.345,0.458,3.099
ID36911,36911,3,4.124,653.288,328.142,0,83,83,7,1,-10921639,223.768,243,105,255,92416,40.061,11.312,0.421,3.309
ID36935,36935,3,4.461,652.730,336.030,0,84,84,7,1,-10921639,216.709,249,61,255,89501,53.517,11.259,0.475,2.610
ID36962,36962,3,4.009,654.028,331.343,0,85,85,7,1,-10921639,218.792,235,61,255,90361,45.037,11.320,0.411,2.832
ID36987,36987,3,4.123,654.758,338.308,0,86,86,7,1,-10921639,210.017,235,31,255,86737,57.067,11.320,0.453,2.295
ID37012,37012,3,3.984,654.966,323.064,0,87,87,7,1,-10921639,205.145,217,61,255,84725,49.795,11.254,0.434,2.495
ID37034,37034,3,4.061,653.754,334.426,0,88,88,7,1,-10921639,211.419,224,83,255,87316,43.807,11.358,0.436,2.933
ID37061,37061,3,3.881,655.675,328.437,0,89,89,7,1,-10921639,197.944,218,42,255,81751,58.852,11.208,0.433,2.032
ID37085,37085,3,4.006,655.273,321.577,0,90,90,7,1,-10921639,203.232,235,32,255,83935,66.253,11.192,0.424,1.828
ID37109,37109,3,4.209,654.863,332.661,0,91,91,7,1,-10921639,202.874,244,16,255,83787,70.296,11.172,0.445,1.779
ID37135,37135,3,4.225,655.322,332.585,0,92,92,7,1,-10921639,195.048,233,10,255,80555,74.162,11.127,0.466,1.673
ID37160,37160,3,4.328,654.519,328.130,0,93,93,7,1,-10921639,210.201,249,46,255,86813,61.155,11.249,0.464,2.178
ID37187,37187,3,4.348,655.465,328.864,0,94,94,7,1,-10921639,195.317,246,0,255,80666,78.699,11.151,0.496,1.646
ID37210,37210,3,4.359,655.391,329.162,0,95,95,7,1,-10921639,199.286,255,12,255,82305,75.954,11.143,0.484,1.713
ID37235,37235,3,4.277,655.538,326.795,0,96,96,7,1,-10921639,204.380,255,0,255,84409,73.804,11.196,0.490,1.821
ID34921,34921,9,4.386,139.193,408.973,0,0,0,7,1,-10921639,212.310,255,14,255,87684,70.077,11.198,0.462,1.914
ID34944,34944,9,4.072,136.147,406.852,0,1,1,7,1,-10921639,194.262,255,4,255,80230,86.698,11.047,0.409,1.301
ID34969,34969,9,4.200,137.444,409.373,0,2,2,7,1,-10921639,182.262,255,9,255,75274,94.105,8.583,0.440,1.184
ID34994,34994,9,4.324,146.166,419.174,0,3,3,7,1,-10921639,199.019,255,33,255,82195,80.209,11.021,0.450,1.540
ID35017,35017,9,4.148,152.264,425.239,0,4,4,7,1,-10921639,214.927,255,38,255,88765,63.425,11.191,0.417,1.996
ID35039,35039,9,4.318,151.836,425.541,0,5,5,7,1,-10921639,212.930,255,33,255,87940,70.003,11.194,0.443,1.867
ID35062,35062,9,4.133,153.730,427.380,0,6,6,7,1,-10921639,210.954,255,38,255,87124,71.176,11.147,0.411,1.727
ID35083,35083,9,4.384,147.033,420.424,0,7,7,7,1,-10921639,225.729,255,33,255,93226,56.183,11.361,0.460,2.532
ID35105,35105,9,4.398,144.359,418.717,0,8,8,7,1,-10921639,208.327,255,29,255,86039,74.108,11.166,0.459,1.770
ID35129,35129,9,4.199,143.889,418.042,0,9,9,7,1,-10921639,204.157,255,41,255,84317,74.571,11.081,0.424,1.629
ID35150,35150,9,4.213,141.119,414.083,0,10,10,7,1,-10921639,209.148,255,35,255,86378,71.673,11.131,0.425,1.740
ID35169,35169,9,4.348,142.157,417.450,0,11,11,7,1,-10921639,221.005,255,48,255,91275,59.013,11.291,0.451,2.328
ID35215,35215,9,4.335,140.424,414.880,0,12,12,7,1,-10921639,202.717,255,29,255,83722,77.852,11.086,0.455,1.630
ID35193,35193,9,4.312,138.664,414.648,0,13,13,7,1,-10921639,212.673,255,42,255,87834,68.043,11.181,0.445,1.924
ID35241,35241,9,4.528,139.229,416.449,0,14,14,7,1,-10921639,226.061,255,55,255,93363,55.900,11.352,0.483,2.635
ID35262,35262,9,4.552,137.910,416.753,0,15,15,7,1,-10921639,219.581,255,34,255,90687,63.067,11.288,0.488,2.283
ID35287,35287,9,4.697,138.685,416.834,0,16,16,7,1,-10921639,216.738,255,41,255,89513,65.428,11.268,0.518,2.260
ID35310,35310,9,4.655,139.814,416.515,0,17,17,7,1,-10921639,215.857,255,38,255,89149,65.770,11.255,0.508,2.211
ID35359,35359,9,4.540,139.251,420.634,0,18,18,7,1,-10921639,224.780,255,64,255,92834,53.315,11.334,0.485,2.756
ID35335,35335,9,4.192,142.825,425.184,0,19,19,7,1,-10921639,228.368,255,43,255,94316,50.574,11.333,0.427,2.702
ID35386,35386,9,4.429,144.547,427.235,0,20,20,7,1,-10921639,231.576,255,57,255,95641,45.633,11.388,0.467,3.231
ID35410,35410,9,4.408,147.090,429.803,0,21,21,7,1,-10921639,233.380,255,79,255,96386,41.302,11.410,0.465,3.589
ID35436,35436,9,4.244,149.808,432.570,0,22,22,7,1,-10921639,241.056,255,102,255,99556,30.607,14.952,0.437,4.793
ID35459,35459,9,4.243,148.636,432.255,0,23,23,7,1,-10921639,233.663,255,75,255,96503,40.651,11.420,0.437,3.495
ID35484,35484,9,4.414,148.970,433.220,0,24,24,7,1,-10921639,233.160,255,55,255,96295,43.807,11.414,0.464,3.375
ID35509,35509,9,4.351,150.971,432.924,0,25,25,7,1,-10921639,218.114,255,32,255,90081,63.619,11.261,0.453,2.138
ID35533,35533,9,4.480,149.445,431.206,0,26,26,7,1,-10921639,218.782,255,32,255,90357,64.191,11.265,0.474,2.191
ID35555,35555,9,4.374,148.376,430.584,0,27,27,7,1,-10921639,224.542,255,57,255,92736,52.365,11.328,0.456,2.686
ID35598,35598,9,4.332,149.086,430.556,0,28,28,7,1,-10921639,219.915,255,40,255,90825,61.597,11.272,0.448,2.208
ID35577,35577,9,4.470,149.271,431.406,0,29,29,7,1,-10921639,224.322,255,38,255,92645,55.808,11.349,0.472,2.578
ID35622,35622,9,4.475,150.152,433.958,0,30,30,7,1,-10921639,221.104,255,34,255,91316,60.665,11.297,0.474,2.344
ID35648,35648,9,4.586,152.561,435.852,0,31,31,7,1,-10921639,224.952,255,43,255,92905,53.910,11.352,0.496,2.768
ID35701,35701,9,4.679,155.752,437.644,0,32,32,7,1,-10921639,228.729,255,36,255,94465,53.633,11.379,0.512,2.888
ID35675,35675,9,4.583,159.794,440.899,0,33,33,7,1,-10921639,228.351,255,42,255,94309,52.856,11.366,0.495,2.860
ID35726,35726,9,4.410,160.760,443.817,0,34,34,7,1,-10921639,240.215,255,101,255,99209,32.815,15.020,0.467,4.659
ID35752,35752,9,4.560,159.204,442.836,0,35,35,7,1,-10921639,228.939,255,36,255,94552,51.313,11.373,0.489,2.930
ID35777,35777,9,4.554,158.821,443.432,0,36,36,7,1,-10921639,236.266,255,76,255,97578,38.698,11.463,0.489,4.010
ID35801,35801,9,4.416,158.121,443.264,0,37,37,7,1,-10921639,225.806,255,41,255,93258,55.306,11.339,0.464,2.587
ID35825,35825,9,4.378,156.273,441.156,0,38,38,7,1,-10921639,231.995,255,62,255,95814,45.800,11.428,0.457,3.180
ID35848,35848,9,4.421,153.087,436.776,0,39,39,7,1,-10921639,234.516,255,49,255,96855,43.381,11.430,0.466,3.438
ID35897,35897,9,4.516,151.391,434.972,0,40,40,7,1,-10921639,235.031,255,59,255,97068,44.027,11.457,0.481,3.469
ID35874,35874,9,4.470,147.382,431.693,0,41,41,7,1,-10921639,217.329,255,23,255,89757,66.884,11.259,0.475,2.093
ID35923,35923,9,4.439,148.462,432.667,0,42,42,7,1,-10921639,214.671,255,22,255,88659,69.612,11.244,0.466,1.960
ID35950,35950,9,4.623,153.900,437.750,0,43,43,7,1,-10921639,231.291,255,35,255,95523,52.010,11.416,0.502,2.972
ID35976,35976,9,4.378,157.528,442.118,0,44,44,7,1,-10921639,233.455,255,81,255,96417,41.684,11.436,0.460,3.527
ID36000,36000,9,4.327,162.425,444.509,0,45,45,7,1,-10921639,234.843,255,67,255,96990,44.023,11.429,0.448,3.300
ID36047,36047,9,4.514,167.782,448.413,0,46,46,7,1,-10921639,232.155,255,29,255,95880,49.974,11.425,0.481,3.016
ID36022,36022,9,4.480,169.850,450.148,0,47,47,7,1,-10921639,227.763,255,32,255,94066,54.969,11.370,0.472,2.659
ID36073,36073,9,4.413,168.166,447.787,0,48,48,7,1,-10921639,219.806,255,23,255,90780,64.794,11.278,0.462,2.143
ID36100,36100,9,4.356,164.535,447.444,0,49,49,7,1,-10921639,219.930,255,36,255,90831,62.124,11.264,0.452,2.205
ID36150,36150,9,4.409,161.427,444.322,0,50,50,7,1,-10921639,232.719,255,85,255,96113,43.539,11.417,0.464,3.387
ID36124,36124,9,4.558,157.604,442.042,0,51,51,7,1,-10921639,226.426,255,43,255,93514,55.733,11.361,0.489,2.669
ID36201,36201,9,4.517,159.778,443.197,0,52,52,7,1,-10921639,227.944,255,45,255,94141,53.926,11.367,0.483,2.755
ID36176,36176,9,4.385,164.059,446.443,0,53,53,7,1,-10921639,243.494,255,101,255,100563,28.803,15.150,0.460,5.329
