Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID36281,36281,8,4.521,220.454,158.139,0,0,0,7,1,-10921639,243.748,255,34,255,100668,37.774,17.874,0.483,4.204
ID36264,36264,8,4.830,219.767,178.611,0,1,1,7,1,-10921639,243.041,255,59,255,100376,33.503,14.528,0.533,5.045
ID36225,36225,8,4.673,215.476,179.617,0,2,2,7,1,-10921639,226.099,255,0,255,93379,66.077,11.351,0.503,2.291
ID36243,36243,8,4.912,216.121,181.809,0,3,3,7,1,-10921639,231.826,255,0,255,95744,57.679,11.446,0.553,2.863
ID36300,36300,8,4.726,214.053,182.024,0,4,4,7,1,-10921639,239.835,255,10,255,99052,43.963,11.519,0.516,3.714
ID36318,36318,8,5.257,215.485,174.992,0,5,5,7,1,-10921639,234.017,255,0,255,96649,56.351,11.470,0.630,3.211
ID36338,36338,8,5.260,218.027,170.126,0,6,6,7,1,-10921639,248.271,255,93,255,102536,26.027,15.366,0.623,7.320
ID36358,36358,8,4.551,212.422,181.176,0,7,7,7,1,-10921639,247.634,255,70,255,102273,25.657,15.082,0.483,6.289
ID36378,36378,8,5.194,213.759,185.604,0,8,8,7,1,-10921639,254.547,255,167,255,105128,5.212,15.682,0.613,37.115
ID36399,36399,8,5.190,212.638,184.011,0,9,9,7,1,-10921639,244.768,255,91,255,101089,29.644,14.567,0.607,6.236
ID36418,36418,8,5.129,210.929,183.904,0,10,10,7,1,-10921639,245.724,255,74,255,101484,29.809,14.702,0.593,6.137
ID36437,36437,8,5.229,213.138,186.347,0,11,11,7,1,-10921639,243.494,255,72,255,100563,34.339,14.348,0.619,5.423
ID36455,36455,8,4.823,209.359,184.771,0,12,12,7,1,-10921639,236.077,255,49,255,97500,42.747,15.107,0.540,3.874
ID36472,36472,8,5.285,208.989,179.949,0,13,13,7,1,-10921639,242.731,255,37,255,100248,38.642,14.875,0.628,4.848
ID36491,36491,8,5.241,210.765,182.856,0,14,14,7,1,-10921639,247.433,255,82,255,102190,24.928,14.824,0.618,7.584
ID36509,36509,8,5.221,210.413,185.330,0,15,15,7,1,-10921639,243.906,255,62,255,100733,32.840,14.669,0.613,5.643
ID36527,36527,8,5.247,211.707,182.718,0,16,16,7,1,-10921639,250.286,255,120,255,103368,18.820,14.970,0.614,10.121
ID36543,36543,8,5.289,211.933,182.839,0,17,17,7,1,-10921639,246.240,255,100,255,101697,26.962,14.421,0.629,7.050
ID36559,36559,8,5.164,211.978,184.060,0,18,18,7,1,-10921639,250.167,255,130,255,103319,17.167,14.956,0.601,10.940
ID36577,36577,8,5.104,210.064,182.998,0,19,19,7,1,-10921639,247.901,255,105,255,102383,24.408,15.025,0.588,7.523
ID36596,36596,8,5.404,210.717,185.128,0,20,20,7,1,-10921639,242.000,255,90,255,99946,33.950,14.377,0.657,5.653
ID36618,36618,8,5.353,211.611,183.009,0,21,21,7,1,-10921639,241.259,255,59,255,99640,38.049,14.379,0.643,4.962
ID36636,36636,8,5.300,209.996,181.684,0,22,22,7,1,-10921639,239.886,255,63,255,99073,38.060,14.288,0.633,4.888
ID36655,36655,8,5.319,213.059,188.017,0,23,23,7,1,-10921639,245.315,255,67,255,101315,30.326,14.752,0.635,6.281
ID36672,36672,8,5.248,211.496,182.838,0,24,24,7,1,-10921639,247.615,255,125,255,102265,22.205,14.823,0.620,8.539
