Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID46791,46791,6,4.180,551.651,335.224,0,0,0,7,1,-10921639,245.944,255,78,255,101575,30.411,15.425,0.417,4.763
ID46811,46811,6,4.742,554.416,331.823,0,1,1,7,1,-10921639,234.346,255,76,255,96785,43.979,11.466,0.517,3.634
ID46833,46833,6,4.725,556.789,333.064,0,2,2,7,1,-10921639,241.189,255,72,255,99611,36.048,15.378,0.519,4.573
ID46768,46768,6,4.400,558.077,334.875,0,3,3,7,1,-10921639,242.794,255,135,255,100274,24.881,15.629,0.470,6.244
ID46880,46880,6,4.301,558.746,334.452,0,4,4,7,1,-10921639,236.952,255,167,255,97861,24.196,15.452,0.449,6.067
ID46857,46857,6,4.289,559.329,332.217,0,5,5,7,1,-10921639,231.656,249,139,255,95674,29.290,11.368,0.443,4.856
ID46902,46902,6,4.335,560.164,334.649,0,6,6,7,1,-10921639,228.218,242,139,255,94254,31.804,11.329,0.450,4.454
ID46922,46922,6,4.200,561.096,338.221,0,7,7,7,1,-10921639,230.148,248,130,255,95051,32.397,11.380,0.430,4.274
ID46945,46945,6,4.339,561.799,337.639,0,8,8,7,1,-10921639,227.705,244,122,255,94042,34.066,11.373,0.455,4.180
ID46986,46986,6,4.304,560.005,337.579,0,9,9,7,1,-10921639,223.293,237,84,255,92220,38.034,11.350,0.451,3.648
ID46966,46966,6,4.198,560.338,347.177,0,10,10,7,1,-10921639,235.329,252,146,255,97191,26.680,15.247,0.429,5.293
ID47007,47007,6,4.132,560.173,351.151,0,11,11,7,1,-10921639,228.276,240,124,255,94278,30.693,11.375,0.415,4.363
ID47028,47028,6,4.153,560.304,354.655,0,12,12,7,1,-10921639,223.961,247,86,255,92496,42.404,11.347,0.422,3.135
ID47047,47047,6,4.286,560.346,355.866,0,13,13,7,1,-10921639,225.913,255,59,255,93302,45.522,11.334,0.441,3.036
ID47067,47067,6,4.423,559.125,350.222,0,14,14,7,1,-10921639,224.530,255,71,255,92731,47.878,11.329,0.466,2.981
ID47087,47087,6,4.312,554.972,340.336,0,15,15,7,1,-10921639,228.288,255,104,255,94283,40.053,11.362,0.446,3.518
ID47105,47105,6,4.493,552.699,332.922,0,16,16,7,1,-10921639,228.976,255,82,255,94567,44.000,11.374,0.478,3.364
ID47124,47124,6,4.479,552.580,332.043,0,17,17,7,1,-10921639,225.114,255,48,255,92972,53.770,11.315,0.471,2.680
ID47144,47144,6,4.678,553.960,346.054,0,18,18,7,1,-10921639,232.755,255,91,255,96128,36.195,11.406,0.511,4.349
ID47167,47167,6,4.367,559.851,354.205,0,19,19,7,1,-10921639,225.114,255,71,255,92972,45.790,11.357,0.458,3.090
