Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID64370,64370,1,4.764,373.697,96.579,0,0,0,7,1,-10921639,248.252,255,137,255,102528,20.468,14.656,0.530,8.403
ID64340,64340,1,5.063,373.033,90.405,0,1,1,7,1,-10921639,247.622,255,135,255,102268,20.981,14.561,0.588,8.736
ID64326,64326,1,5.116,379.706,67.023,0,2,2,7,1,-10921639,244.908,255,105,255,101147,28.113,14.304,0.598,6.520
ID64352,64352,1,4.905,366.572,59.384,0,3,3,7,1,-10921639,248.368,255,130,255,102576,21.404,14.870,0.555,8.285
ID64382,64382,1,4.944,370.693,66.530,0,4,4,7,1,-10921639,248.661,255,124,255,102697,20.722,14.761,0.564,8.654
ID64397,64397,1,5.007,375.251,47.511,0,5,5,7,1,-10921639,246.847,255,117,255,101948,24.192,14.487,0.574,7.445
ID64411,64411,1,4.739,379.178,25.742,0,6,6,7,1,-10921639,250.230,255,103,255,103345,19.672,14.966,0.523,8.737
ID64425,64425,1,4.659,378.754,35.260,0,7,7,7,1,-10921639,251.663,255,152,255,103937,14.176,14.988,0.511,12.001
ID64464,64464,1,4.572,377.996,24.542,0,8,8,7,1,-10921639,251.237,255,101,255,103761,18.703,15.011,0.494,8.881
ID64439,64439,1,5.116,382.310,14.887,0,9,9,7,1,-10921639,251.291,255,117,255,103783,16.903,14.992,0.593,11.067
ID64451,64451,1,4.213,388.314,37.643,0,10,10,7,1,-10921639,254.673,255,207,255,105180,3.479,15.603,0.435,44.355
ID64477,64477,1,3.629,402.050,50.057,0,11,11,7,1,-10921639,249.165,255,73,255,102905,24.655,14.827,0.348,5.220
ID64488,64488,1,4.234,386.495,34.197,0,12,12,7,1,-10921639,254.985,255,249,255,105309,0.295,15.622,0.437,525.289
ID64515,64515,1,4.623,385.846,34.118,0,13,13,7,1,-10921639,251.564,255,145,255,103896,15.065,15.029,0.502,11.162
ID64500,64500,1,4.885,386.975,33.323,0,14,14,7,1,-10921639,249.569,255,101,255,103072,21.581,14.886,0.550,8.209
ID64527,64527,1,4.715,387.706,33.754,0,15,15,7,1,-10921639,248.581,255,150,255,102664,19.136,14.709,0.521,8.894
ID64541,64541,1,4.707,386.880,34.753,0,16,16,7,1,-10921639,247.475,255,121,255,102207,21.920,14.716,0.517,7.700
ID64554,64554,1,4.465,386.420,33.893,0,17,17,7,1,-10921639,248.571,255,130,255,102660,20.870,14.738,0.477,7.693
ID64565,64565,1,4.003,389.169,33.648,0,18,18,7,1,-10921639,254.010,255,203,255,104906,5.397,15.132,0.404,27.076
ID64576,64576,1,3.965,386.562,34.837,0,19,19,7,1,-10921639,253.077,255,174,255,104521,9.321,15.054,0.398,15.467
ID64612,64612,1,4.480,387.571,33.313,0,20,20,7,1,-10921639,250.717,255,152,255,103546,15.765,14.849,0.480,10.322
ID64587,64587,1,4.571,385.141,34.458,0,21,21,7,1,-10921639,248.973,255,125,255,102826,19.099,14.714,0.496,8.647
ID64600,64600,1,4.688,386.708,34.034,0,22,22,7,1,-10921639,249.709,255,139,255,103130,18.337,14.819,0.515,9.255
ID64625,64625,1,4.342,387.431,36.786,0,23,23,7,1,-10921639,251.061,255,146,255,103688,14.418,14.842,0.457,10.926
ID64636,64636,1,4.598,389.371,36.437,0,24,24,7,1,-10921639,251.031,255,181,255,103676,12.647,14.866,0.500,13.238
ID64649,64649,1,4.608,387.883,34.643,0,25,25,7,1,-10921639,249.022,255,136,255,102846,18.188,14.698,0.501,9.136
ID64662,64662,1,4.458,383.319,31.995,0,26,26,7,1,-10921639,250.714,255,142,255,103545,16.064,14.802,0.475,10.050
ID64673,64673,1,4.119,387.704,35.226,0,27,27,7,1,-10921639,253.073,255,186,255,104519,8.950,15.117,0.421,16.755
ID64697,64697,1,4.051,388.761,35.643,0,28,28,7,1,-10921639,252.586,255,175,255,104318,10.809,15.035,0.411,13.608
ID64684,64684,1,4.208,386.136,35.877,0,29,29,7,1,-10921639,253.293,255,180,255,104610,8.069,15.062,0.436,19.069
ID64709,64709,1,4.390,388.023,35.543,0,30,30,7,1,-10921639,251.557,255,160,255,103893,12.753,14.996,0.464,12.507
ID64722,64722,1,4.553,389.983,33.350,0,31,31,7,1,-10921639,249.835,255,152,255,103182,16.846,14.835,0.491,9.773
ID64736,64736,1,4.476,384.713,39.872,0,32,32,7,1,-10921639,250.881,255,166,255,103614,14.587,14.978,0.478,11.123
ID64748,64748,1,4.384,387.254,35.957,0,33,33,7,1,-10921639,251.375,255,181,255,103818,12.907,14.898,0.463,12.334
ID64761,64761,1,4.643,387.608,36.825,0,34,34,7,1,-10921639,248.281,255,139,255,102540,20.042,14.680,0.506,8.325
ID64777,64777,1,4.196,385.933,36.559,0,35,35,7,1,-10921639,251.642,255,167,255,103928,12.853,14.951,0.433,11.839
ID64789,64789,1,4.057,384.440,37.566,0,36,36,7,1,-10921639,253.676,255,188,255,104768,6.849,15.198,0.411,21.590
ID64803,64803,1,4.380,385.279,34.440,0,37,37,7,1,-10921639,252.162,255,176,255,104143,10.895,14.906,0.462,14.625
ID64818,64818,1,4.591,387.997,35.716,0,38,38,7,1,-10921639,250.138,255,156,255,103307,14.645,14.796,0.499,11.373
ID64831,64831,1,4.711,388.209,34.367,0,39,39,7,1,-10921639,244.596,255,120,255,101018,24.786,14.211,0.520,6.749
ID64846,64846,1,4.570,389.147,36.301,0,40,40,7,1,-10921639,248.259,255,120,255,102531,19.626,14.607,0.494,8.364
ID64860,64860,1,4.286,390.386,34.273,0,41,41,7,1,-10921639,251.613,255,154,255,103916,13.724,15.018,0.446,11.303
ID64872,64872,1,4.243,385.630,32.721,0,42,42,7,1,-10921639,247.843,255,116,255,102359,23.396,14.843,0.438,6.456
ID64886,64886,1,4.101,387.229,33.408,0,43,43,7,1,-10921639,252.061,255,170,255,104101,12.226,14.997,0.418,12.155
ID64900,64900,1,4.421,386.825,33.388,0,44,44,7,1,-10921639,249.697,255,153,255,103125,16.804,14.933,0.469,9.487
ID64916,64916,1,4.423,387.443,31.996,0,45,45,7,1,-10921639,250.395,255,145,255,103413,16.149,14.872,0.469,9.896
ID64929,64929,1,4.288,388.788,33.978,0,46,46,7,1,-10921639,250.552,255,143,255,103478,16.384,14.998,0.446,9.438
ID64944,64944,1,4.347,389.995,34.188,0,47,47,7,1,-10921639,245.944,255,136,255,101575,23.730,14.353,0.456,6.493
ID64957,64957,1,4.317,388.124,30.664,0,48,48,7,1,-10921639,251.373,255,144,255,103817,14.547,14.919,0.453,10.767
ID64970,64970,1,3.963,387.629,32.539,0,49,49,7,1,-10921639,253.324,255,177,255,104623,8.714,15.201,0.398,16.537
ID64983,64983,1,3.791,387.291,35.722,0,50,50,7,1,-10921639,252.930,255,180,255,104460,9.751,15.093,0.373,14.090
ID64994,64994,1,3.852,389.749,35.697,0,51,51,7,1,-10921639,251.949,255,157,255,104055,13.383,15.042,0.380,10.376
ID65004,65004,1,4.171,389.832,32.284,0,52,52,7,1,-10921639,251.010,255,147,255,103667,14.765,15.028,0.430,10.219
ID65017,65017,1,4.059,386.849,33.662,0,53,53,7,1,-10921639,251.954,255,157,255,104057,12.426,15.011,0.413,11.852
ID65031,65031,1,4.088,380.476,34.664,0,54,54,7,1,-10921639,252.467,255,178,255,104269,10.632,15.156,0.414,13.900
ID65046,65046,1,4.251,388.295,33.854,0,55,55,7,1,-10921639,250.569,255,168,255,103485,13.892,15.000,0.443,11.071
ID65073,65073,1,3.984,387.076,30.159,0,56,56,7,1,-10921639,252.753,255,189,255,104387,9.283,15.110,0.401,15.589
